time,pos_meas1,pos_meas2,vel_meas1,vel_meas2,pos_filt1,pos_filt2,vel_filt1,vel_filt2,tau_con1,tau_con2,tau_fric1,tau_fric2,tau_meas1,tau_meas2,tau_pert1,tau_pert2
0.000000000000000000e+00,5.722133211261137831e-04,-1.907377737087045944e-04,-2.747252747252915128e-02,-5.494505494507251342e-03,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,3.362902626395225525e-02,-2.812301158905029297e+00,0.000000000000000000e+00,0.000000000000000000e+00,2.930402930402919992e-03,2.930402930402919992e-03,2.930182312310921929e-259,-5.610578334781845273e-301
3.411769866943359375e-03,5.722133211261137831e-04,-1.907377737087045944e-04,0.000000000000000000e+00,0.000000000000000000e+00,5.722133211261137831e-04,-1.907377737087045944e-04,-2.747252747252915128e-02,-5.494505494507251342e-03,3.362902626395225525e-02,-2.812301158905029297e+00,0.000000000000000000e+00,0.000000000000000000e+00,8.791208791208759976e-03,2.930402930402919992e-03,9.292424839035301742e-259,-1.297465691924585465e-300
6.832599639892578125e-03,5.722133211261137831e-04,-9.536888685435229718e-04,0.000000000000000000e+00,-2.230310028484846774e-01,5.722133211261137831e-04,-1.907377737087045944e-04,0.000000000000000000e+00,0.000000000000000000e+00,3.325808048248291016e-02,-2.786909043788909912e+00,0.000000000000000000e+00,0.000000000000000000e+00,2.637362637362627993e-02,-1.292307692307693046e+00,2.943584926718323879e-258,-2.998908010503158923e-300
1.195430755615234375e-02,1.335164415960932160e-03,-4.005493247882796481e-03,1.489641946220118252e-01,-5.958567784880473006e-01,5.722133211261137831e-04,-9.536888685435229718e-04,0.000000000000000000e+00,-2.230310028484846774e-01,3.331700712442398071e-02,-2.769856274127960205e+00,0.000000000000000000e+00,0.000000000000000000e+00,-2.930402930402919992e-03,-2.306227106227106916e+00,9.314020349314523318e-258,-6.928024494470200622e-300
1.537394523620605469e-02,2.861066605630568915e-03,-7.820248722056888369e-03,4.462175038513641612e-01,-1.115543759628410347e+00,1.335164415960932160e-03,-4.005493247882796481e-03,1.489641946220118252e-01,-5.958567784880473006e-01,3.436679765582084656e-02,-2.791135311126708984e+00,0.000000000000000000e+00,0.000000000000000000e+00,-2.051282051282043994e-02,-2.417582417582417875e+00,2.943817571783656342e-257,-1.599685814151907936e-299
1.828837394714355469e-02,4.768444342717614859e-03,-1.239795529106579863e-02,6.544602480509771336e-01,-1.570704595322345298e+00,2.861066605630568915e-03,-7.820248722056888369e-03,4.462175038513641612e-01,-1.115543759628410347e+00,3.563771024346351624e-02,-2.817193329334259033e+00,0.000000000000000000e+00,0.000000000000000000e+00,-2.637362637362627993e-02,-2.458608058608058755e+00,9.293893743287314968e-257,-3.691806936297673400e-299
2.123808860778808594e-02,7.438773174639479180e-03,-1.850156404974434565e-02,9.052837779700293463e-01,-2.069220063931495712e+00,4.768444342717614859e-03,-1.239795529106579863e-02,6.544602480509771336e-01,-1.570704595322345298e+00,3.716455772519111633e-02,-2.849489450454711914e+00,0.000000000000000000e+00,0.000000000000000000e+00,-1.465201465201459996e-02,-2.505494505494505475e+00,2.930877124605656802e-256,-8.515737744184318952e-299
2.425098419189453125e-02,1.087205310139616188e-02,-2.574959945067512024e-02,1.139528347702402522e+00,-2.405670956260627769e+00,7.438773174639479180e-03,-1.850156404974434565e-02,9.052837779700293463e-01,-2.069220063931495712e+00,3.940250352025032043e-02,-2.911346912384033203e+00,0.000000000000000000e+00,0.000000000000000000e+00,-1.465201465201459996e-02,-2.558241758241758035e+00,9.232315095820662486e-256,-1.963290584236929791e-298
2.708101272583007812e-02,1.506828412298766295e-02,-3.376058594644071320e-02,1.482752195348384205e+00,-2.830708736574187867e+00,1.087205310139616188e-02,-2.574959945067512024e-02,1.139528347702402522e+00,-2.405670956260627769e+00,4.281528294086456299e-02,-3.014919519424438477e+00,0.000000000000000000e+00,0.000000000000000000e+00,-2.930402930402919992e-03,-2.523076923076922995e+00,2.904937040692459394e-255,-4.524034395828691522e-298
3.033924102783203125e-02,1.964599069199657322e-02,-4.444190127412817048e-02,1.404968020870799750e+00,-3.278258715365199194e+00,1.506828412298766295e-02,-3.376058594644071320e-02,1.482752195348384205e+00,-2.830708736574187867e+00,4.457087442278862000e-02,-3.035149097442626953e+00,0.000000000000000000e+00,0.000000000000000000e+00,-2.930402930402919992e-03,-2.575824175824175555e+00,9.130108296086036160e-255,-1.041948422365181016e-297
