time,pos_meas1,pos_meas2,vel_meas1,vel_meas2,pos_filt1,pos_filt2,vel_filt1,vel_filt2,tau_con1,tau_con2,tau_fric1,tau_fric2,tau_meas1,tau_meas2,tau_pert1,tau_pert2
0.000000000000000000e+00,1.907377737087045944e-04,1.907377737087045944e-04,7.142857142857295116e-02,-5.494505494507251342e-03,1.907377737087045944e-04,1.907377737087045944e-04,7.142857142857295116e-02,-5.494505494507251342e-03,-4.999333981822750017e-01,-5.001002533470165545e+00,0.000000000000000000e+00,0.000000000000000000e+00,8.791208791208759976e-03,-2.930402930402919992e-03,2.930182312310921929e-259,-5.610578334781845273e-301
3.030443191528320312e-02,5.722133211261137831e-04,1.907377737087045944e-04,1.258811082431222049e-02,0.000000000000000000e+00,5.722133211261137831e-04,1.907377737087045944e-04,1.258811082431222049e-02,0.000000000000000000e+00,-4.998886839185318065e-01,-4.971297516610523104e+00,0.000000000000000000e+00,0.000000000000000000e+00,8.791208791208759976e-03,-2.930402930402919992e-03,1.021305199334084720e-251,-1.745035176171580545e-295
6.060791015625000000e-02,3.643091477836257752e-02,-8.716716258487799962e-02,1.183319656314556267e+00,-2.882768098893972120e+00,3.643091477836257752e-02,-8.716716258487799962e-02,1.183319656314556267e+00,-2.882768098893972120e+00,-4.999999999999681366e-01,-4.513241210120950697e+00,0.000000000000000000e+00,0.000000000000000000e+00,-5.597069597069594948e-01,-4.574358974358974095e+00,2.751942141947062360e-244,-4.829121715820405662e-290
9.091138839721679688e-02,1.546883344777594260e-01,-3.389410238803698405e-01,3.902437164441621587e+00,-8.308414608166092563e+00,1.546883344777594260e-01,-3.389410238803698405e-01,3.902437164441621587e+00,-8.308414608166092563e+00,-4.999999999978210763e-01,-3.938787452570117420e+00,0.000000000000000000e+00,0.000000000000000000e+00,-7.355311355311346944e-01,-4.691575091575091783e+00,5.732524380748258908e-237,-1.189048386889295442e-284
1.212148666381835938e-01,3.255893797207605189e-01,-7.055390249485000709e-01,5.639651127967305833e+00,-1.209755520976902687e+01,3.255893797207605189e-01,-7.055390249485000709e-01,5.639651127967305833e+00,-1.209755520976902687e+01,-4.992518459218364679e-01,-1.745388777127590885e+00,0.000000000000000000e+00,0.000000000000000000e+00,-4.893772893772894150e-01,-4.421978021978022255e+00,9.231565973463714612e-230,-2.604943540422925699e-279
1.515183448791503906e-01,5.090791180285343387e-01,-1.112573434042877452e+00,6.055071858375548288e+00,-1.343193694986847930e+01,5.090791180285343387e-01,-1.112573434042877452e+00,6.055071858375548288e+00,-1.343193694986847930e+01,-4.963949964290977901e-01,-1.027503616512616125e+00,0.000000000000000000e+00,0.000000000000000000e+00,-4.893772893772894150e-01,-3.964835164835164960e+00,1.149284899652092525e-222,-5.077670462579492195e-274
1.818218231201171875e-01,6.700617990386810163e-01,-1.492141603723201371e+00,5.312349946433433168e+00,-1.252556444715945716e+01,6.700617990386810163e-01,-1.492141603723201371e+00,5.312349946433433168e+00,-1.252556444715945716e+01,-4.999025505488009502e-01,-1.058129243574702727e+00,0.000000000000000000e+00,0.000000000000000000e+00,-3.663003663003667754e-01,-2.048351648351648180e+00,1.106121614985439247e-215,-8.806394155523150264e-269
2.121253013610839844e-01,7.940413519493407790e-01,-1.820592050049592459e+00,4.091264769172726190e+00,-1.083870451156211168e+01,7.940413519493407790e-01,-1.820592050049592459e+00,4.091264769172726190e+00,-1.083870451156211168e+01,-4.999929679953423745e-01,-1.065782136660502699e+00,0.000000000000000000e+00,0.000000000000000000e+00,-3.663003663003667754e-01,-1.098901098901098550e+00,8.230020427284944372e-209,-1.358936418957836746e-263
2.424287796020507812e-01,8.772030212863359822e-01,-2.099069199664301166e+00,2.744294522091204946e+00,-9.189610096910914905e+00,8.772030212863359822e-01,-2.099069199664301166e+00,2.744294522091204946e+00,-9.189610096910914905e+00,-4.999987701610302260e-01,-6.318652383189492516e-01,0.000000000000000000e+00,0.000000000000000000e+00,-3.956043956043959753e-01,-1.110622710622710230e+00,4.733929684715796468e-202,-1.865810643635281552e-258
2.727322578430175781e-01,9.229800869764250848e-01,-2.339398794537270732e+00,1.510620837848369646e+00,-7.930759398703999707e+00,9.229800869764250848e-01,-2.339398794537270732e+00,1.510620837848369646e+00,-7.930759398703999707e+00,-4.999997831341875254e-01,6.943521803952845683e-01,0.000000000000000000e+00,0.000000000000000000e+00,-3.721611721611726153e-01,-1.104761904761904390e+00,2.105065182749107079e-195,-2.279310048516935415e-253
