time,pos1,pos2,vel1,vel2,tau1,tau2
0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,-1.088840000000000030e+00
1.000000000000000021e-03,2.410279999999999901e-05,-4.996250000000000148e-05,4.820519999999999666e-02,-9.992429999999999368e-02,0.000000000000000000e+00,-1.064030000000000031e+00
2.000000000000000042e-03,9.585969999999999973e-05,-1.987070000000000069e-04,9.530750000000000333e-02,-1.975629999999999886e-01,0.000000000000000000e+00,-1.039730000000000043e+00
3.000000000000000062e-03,2.141769999999999926e-04,-4.439679999999999885e-04,1.413260000000000072e-01,-2.929550000000000209e-01,0.000000000000000000e+00,-1.015949999999999909e+00
4.000000000000000083e-03,3.779799999999999827e-04,-7.835160000000000518e-04,1.862779999999999991e-01,-3.861379999999999812e-01,0.000000000000000000e+00,-9.926599999999999868e-01
5.000000000000000104e-03,5.862120000000000178e-04,-1.215160000000000068e-03,2.301819999999999977e-01,-4.771509999999999918e-01,0.000000000000000000e+00,-9.698649999999999771e-01
6.000000000000000125e-03,8.378329999999999588e-04,-1.736759999999999953e-03,2.730569999999999942e-01,-5.660300000000000331e-01,0.000000000000000000e+00,-9.475540000000000074e-01
7.000000000000000146e-03,1.131819999999999962e-03,-2.346179999999999793e-03,3.149190000000000045e-01,-6.528119999999999479e-01,0.000000000000000000e+00,-9.257170000000000121e-01
8.000000000000000167e-03,1.467180000000000003e-03,-3.041359999999999897e-03,3.557850000000000179e-01,-7.375329999999999941e-01,0.000000000000000000e+00,-9.043470000000000120e-01
8.999999999999999320e-03,1.842909999999999904e-03,-3.820249999999999861e-03,3.956729999999999969e-01,-8.202279999999999571e-01,0.000000000000000000e+00,-8.834359999999999991e-01
1.000000000000000021e-02,2.258050000000000161e-03,-4.680830000000000407e-03,4.345990000000000131e-01,-9.009319999999999551e-01,0.000000000000000000e+00,-8.629740000000000189e-01
1.099999999999999936e-02,2.711639999999999971e-03,-5.621140000000000164e-03,4.725800000000000001e-01,-9.796780000000000488e-01,0.000000000000000000e+00,-8.429560000000000386e-01
1.200000000000000025e-02,3.202749999999999868e-03,-6.639240000000000246e-03,5.096300000000000274e-01,-1.056499999999999995e+00,0.000000000000000000e+00,-8.233719999999999928e-01
1.299999999999999940e-02,3.730450000000000172e-03,-7.733209999999999910e-03,5.457670000000000021e-01,-1.131429999999999936e+00,0.000000000000000000e+00,-8.042150000000000132e-01
1.400000000000000029e-02,4.293840000000000157e-03,-8.901189999999999797e-03,5.810049999999999937e-01,-1.204499999999999904e+00,0.000000000000000000e+00,-7.854769999999999808e-01
1.499999999999999944e-02,4.892030000000000337e-03,-1.014130000000000066e-02,6.153589999999999893e-01,-1.275749999999999940e+00,0.000000000000000000e+00,-7.671519999999999451e-01
1.600000000000000033e-02,5.524140000000000300e-03,-1.145179999999999983e-02,6.488439999999999763e-01,-1.345199999999999951e+00,0.000000000000000000e+00,-7.492320000000000091e-01
1.700000000000000122e-02,6.189300000000000010e-03,-1.283089999999999925e-02,6.814759999999999707e-01,-1.412879999999999914e+00,0.000000000000000000e+00,-7.317090000000000538e-01
1.799999999999999864e-02,6.886680000000000058e-03,-1.427669999999999981e-02,7.132669999999999844e-01,-1.478820000000000023e+00,0.000000000000000000e+00,-7.145780000000000465e-01
1.899999999999999953e-02,7.615440000000000230e-03,-1.578770000000000173e-02,7.442330000000000334e-01,-1.543060000000000098e+00,0.000000000000000000e+00,-6.978299999999999503e-01
2.000000000000000042e-02,8.374750000000000250e-03,-1.736199999999999896e-02,7.743870000000000475e-01,-1.605629999999999891e+00,0.000000000000000000e+00,-6.814590000000000369e-01
2.100000000000000130e-02,9.163819999999999605e-03,-1.899810000000000040e-02,8.037429999999999852e-01,-1.666539999999999910e+00,0.000000000000000000e+00,-6.654579999999999940e-01
2.199999999999999872e-02,9.981860000000000385e-03,-2.069429999999999881e-02,8.323139999999999983e-01,-1.725829999999999975e+00,0.000000000000000000e+00,-6.498209999999999820e-01
2.299999999999999961e-02,1.082810000000000022e-02,-2.244900000000000020e-02,8.601130000000000164e-01,-1.783530000000000060e+00,0.000000000000000000e+00,-6.345410000000000217e-01
2.400000000000000050e-02,1.170170000000000064e-02,-2.426060000000000022e-02,8.871529999999999694e-01,-1.839660000000000073e+00,0.000000000000000000e+00,-6.196110000000000229e-01
2.500000000000000139e-02,1.260200000000000035e-02,-2.612760000000000082e-02,9.134459999999999802e-01,-1.894249999999999989e+00,0.000000000000000000e+00,-6.050269999999999815e-01
2.599999999999999881e-02,1.352830000000000005e-02,-2.804840000000000111e-02,9.390060000000000073e-01,-1.947319999999999940e+00,0.000000000000000000e+00,-5.907799999999999718e-01
2.699999999999999969e-02,1.447969999999999986e-02,-3.002149999999999958e-02,9.638440000000000341e-01,-1.998899999999999899e+00,0.000000000000000000e+00,-5.768659999999999899e-01
2.800000000000000058e-02,1.545559999999999989e-02,-3.204549999999999760e-02,9.879729999999999901e-01,-2.049030000000000129e+00,0.000000000000000000e+00,-5.632779999999999454e-01
2.900000000000000147e-02,1.645529999999999909e-02,-3.411890000000000062e-02,1.011400000000000077e+00,-2.097710000000000186e+00,0.000000000000000000e+00,-5.500110000000000277e-01
2.999999999999999889e-02,1.747809999999999989e-02,-3.624020000000000019e-02,1.034149999999999903e+00,-2.144969999999999821e+00,0.000000000000000000e+00,-5.370580000000000354e-01
3.099999999999999978e-02,1.852329999999999949e-02,-3.840820000000000345e-02,1.056219999999999937e+00,-2.190850000000000186e+00,0.000000000000000000e+00,-5.244140000000000468e-01
3.200000000000000067e-02,1.959019999999999859e-02,-4.062129999999999908e-02,1.077620000000000022e+00,-2.235360000000000014e+00,0.000000000000000000e+00,-5.120730000000000004e-01
3.300000000000000155e-02,2.067820000000000075e-02,-4.287819999999999826e-02,1.098379999999999912e+00,-2.278519999999999879e+00,0.000000000000000000e+00,-5.000310000000000032e-01
3.400000000000000244e-02,2.178669999999999912e-02,-4.517770000000000119e-02,1.118489999999999984e+00,-2.320359999999999978e+00,0.000000000000000000e+00,-4.882799999999999918e-01
3.500000000000000333e-02,2.291489999999999846e-02,-4.751829999999999943e-02,1.137969999999999926e+00,-2.360899999999999999e+00,0.000000000000000000e+00,-4.768160000000000176e-01
3.599999999999999728e-02,2.406229999999999827e-02,-4.989890000000000297e-02,1.156840000000000090e+00,-2.400170000000000137e+00,0.000000000000000000e+00,-4.656350000000000211e-01
3.699999999999999817e-02,2.522829999999999864e-02,-5.231809999999999933e-02,1.175089999999999968e+00,-2.438180000000000014e+00,0.000000000000000000e+00,-4.547289999999999943e-01
3.799999999999999906e-02,2.641220000000000026e-02,-5.477470000000000255e-02,1.192739999999999911e+00,-2.474950000000000205e+00,0.000000000000000000e+00,-4.440950000000000175e-01
3.899999999999999994e-02,2.761349999999999916e-02,-5.726740000000000302e-02,1.209799999999999986e+00,-2.510510000000000019e+00,0.000000000000000000e+00,-4.337280000000000024e-01
4.000000000000000083e-02,2.883159999999999890e-02,-5.979519999999999974e-02,1.226290000000000102e+00,-2.544880000000000031e+00,0.000000000000000000e+00,-4.236219999999999986e-01
4.100000000000000172e-02,3.006580000000000016e-02,-6.235670000000000102e-02,1.242199999999999971e+00,-2.578079999999999927e+00,0.000000000000000000e+00,-4.137730000000000019e-01
4.200000000000000261e-02,3.131570000000000187e-02,-6.495080000000000298e-02,1.257560000000000011e+00,-2.610129999999999839e+00,0.000000000000000000e+00,-4.041750000000000065e-01
