time,pos_meas1,pos_meas2,vel_meas1,vel_meas2,tau_con1,tau_con2
2.000000000000000042e-03,8.060302924072737475e-04,-1.570828340546067715e-03,8.059913582335012094e-01,-1.570754471645588346e+00,0.000000000000000000e+00,-6.000000000000000000e+00
4.000000000000000083e-03,3.223639969198578530e-03,-6.282399463841052516e-03,1.611487529036315092e+00,-3.140567580506731016e+00,0.000000000000000000e+00,-6.000000000000000000e+00
6.000000000000000125e-03,7.251217661248936588e-03,-1.413164225613088368e-02,2.415825698286233170e+00,-4.708168823725294772e+00,0.000000000000000000e+00,-6.000000000000000000e+00
8.000000000000000167e-03,1.288552054360866603e-02,-2.511234409539203627e-02,3.218010031752495337e+00,-6.271633801701643307e+00,0.000000000000000000e+00,-6.000000000000000000e+00
1.000000000000000021e-02,2.012084758672368773e-02,-3.921352749278098765e-02,4.016552505505675441e+00,-7.828071671730945980e+00,0.000000000000000000e+00,-6.000000000000000000e+00
1.200000000000000025e-02,2.894790647476597895e-02,-5.641722518874135034e-02,4.809327330763180086e+00,-9.373339262309482223e+00,0.000000000000000000e+00,-6.000000000000000000e+00
1.400000000000000029e-02,3.935241254019831991e-02,-7.669572890168654955e-02,5.593450970327783267e+00,-1.090180536473740958e+01,0.000000000000000000e+00,-6.000000000000000000e+00
1.600000000000000033e-02,5.131348714324908411e-02,-1.000084439260129215e-01,6.365204798989798185e+00,-1.240619862556581587e+01,0.000000000000000000e+00,-6.000000000000000000e+00
1.800000000000000211e-02,6.480196139707798675e-02,-1.262985571834993048e-01,7.120021498837160401e+00,-1.387758037969871516e+01,0.000000000000000000e+00,-6.000000000000000000e+00
2.000000000000000389e-02,7.977873496381923668e-02,-1.554898122349268885e-01,7.852557202565368932e+00,-1.530548557604134174e+01,0.000000000000000000e+00,-6.000000000000000000e+00
2.200000000000000566e-02,9.619338018329566531e-02,-1.874837642325160036e-01,8.556866806651537871e+00,-1.667826595942396040e+01,0.000000000000000000e+00,-6.000000000000000000e+00
2.400000000000000744e-02,1.139832060232169458e-01,-2.221579353285879077e-01,9.226687983567936513e+00,-1.798364637988855463e+01,0.000000000000000000e+00,-6.000000000000000000e+00
2.600000000000000921e-02,1.330729893796530894e-01,-2.593652775023825852e-01,9.855820395823899460e+00,-1.920946782912306716e+01,0.000000000000000000e+00,-6.000000000000000000e+00
2.800000000000001099e-02,1.533755315857962542e-01,-2.989352525387177217e-01,1.043856377286236459e+01,-2.034454605028548357e+01,0.000000000000000000e+00,-6.000000000000000000e+00
3.000000000000001277e-02,1.747931040559176086e-01,-3.406766549334027117e-01,1.097015836612971462e+01,-2.137953508347977660e+01,0.000000000000000000e+00,-6.000000000000000000e+00
3.200000000000001454e-02,1.972197220436532616e-01,-3.843820587293483859e-01,1.144716164593679864e+01,-2.230766616965574656e+01,0.000000000000000000e+00,-6.000000000000000000e+00
3.400000000000001632e-02,2.205440567616753778e-01,-4.298335170290793483e-01,1.186770149790575246e+01,-2.312524492117252706e+01,0.000000000000000000e+00,-6.000000000000000000e+00
3.600000000000001810e-02,2.446526967411670750e-01,-4.768089481120676432e-01,1.223156857815052412e+01,-2.383183351230515612e+01,0.000000000000000000e+00,-6.000000000000000000e+00
3.800000000000001987e-02,2.694334258010609440e-01,-5.250885566322439635e-01,1.254014244320801907e+01,-2.443010722189802664e+01,0.000000000000000000e+00,-6.000000000000000000e+00
4.000000000000002165e-02,2.947782065146415942e-01,-5.744606802782955546e-01,1.279617738858441456e+01,-2.492543601179325208e+01,0.000000000000000000e+00,-6.000000000000000000e+00
4.200000000000002343e-02,3.205856335460774975e-01,-6.247265999342999088e-01,1.300349536871507361e+01,-2.532528384884804495e+01,0.000000000000000000e+00,-6.000000000000000000e+00
4.400000000000002520e-02,3.467627255081392468e-01,-6.757040555102131751e-01,1.316664047888324518e+01,-2.563853244532727516e+01,0.000000000000000000e+00,-6.000000000000000000e+00
4.600000000000002698e-02,3.732260287939388466e-01,-7.272294148605831232e-01,1.329054349464220763e+01,-2.587482441522855581e+01,0.000000000000000000e+00,-6.000000000000000000e+00
4.800000000000002875e-02,3.999020906175013157e-01,-7.791586073699925397e-01,1.338023091462129699e+01,-2.604399336041733903e+01,0.000000000000000000e+00,-6.000000000000000000e+00
5.000000000000003053e-02,4.267274110695656875e-01,-8.313670368676896461e-01,1.344059668940256813e+01,-2.615561656554626779e+01,0.000000000000000000e+00,-6.000000000000000000e+00
5.200000000000003231e-02,4.536480056865899169e-01,-8.837487311570288995e-01,1.347624075101823138e+01,-2.621869842998187750e+01,0.000000000000000000e+00,-6.000000000000000000e+00
5.400000000000003408e-02,4.806187077426023468e-01,-9.362149810959555785e-01,1.349136872072783966e+01,-2.624147368651843593e+01,0.000000000000000000e+00,-6.000000000000000000e+00
5.600000000000003586e-02,5.076023223226077130e-01,-9.886926886834552786e-01,1.348974196260190972e+01,-2.623130923868044206e+01,0.000000000000000000e+00,-6.000000000000000000e+00
5.800000000000003764e-02,5.345687204686527805e-01,-1.041122597137524641e+00,1.347466554326807930e+01,-2.619468028598670983e+01,0.000000000000000000e+00,-6.000000000000000000e+00
6.000000000000003941e-02,5.614939372464429201e-01,-1.093457528129670342e+00,1.344900237941661203e+01,-2.613719780621213218e+01,0.000000000000000000e+00,-6.000000000000000000e+00
6.200000000000004119e-02,5.883593159295603670e-01,-1.145660708966522501e+00,1.341520376003554915e+01,-2.606366818560361764e+01,0.000000000000000000e+00,-6.000000000000000000e+00
6.400000000000004297e-02,6.151507231304244039e-01,-1.197704238506656083e+00,1.337534870050792080e+01,-2.597817022765521600e+01,0.000000000000000000e+00,-6.000000000000000000e+00
6.600000000000004474e-02,6.418414334816975320e-01,-1.249536045200529077e+00,1.331500998892905052e+01,-2.585294003690509257e+01,0.000000000000000000e+00,-5.687617615938335369e+00
6.800000000000004652e-02,6.683816626290921548e-01,-1.301059848641351602e+00,1.322545366247382148e+01,-2.567133214649565431e+01,0.000000000000000000e+00,-5.129213864840945547e+00
7.000000000000004829e-02,6.947190951034062367e-01,-1.352174952365362559e+00,1.311266612802998743e+01,-2.544514550369321526e+01,0.000000000000000000e+00,-4.604528650851771765e+00
7.200000000000005007e-02,7.208122552510207726e-01,-1.402802049992940558e+00,1.298152267934159276e+01,-2.518401411176560600e+01,0.000000000000000000e+00,-4.110425797698970207e+00
7.400000000000005185e-02,7.466302031393428074e-01,-1.452882586364730999e+00,1.283768246748688746e+01,-2.489905157962632387e+01,0.000000000000000000e+00,-3.682974450249744791e+00
7.600000000000005362e-02,7.721488959203112179e-01,-1.502371710265271165e+00,1.268244590638025393e+01,-2.459297289294014988e+01,0.000000000000000000e+00,-3.241087784921170556e+00
7.800000000000005540e-02,7.973477439135315814e-01,-1.551231637799018959e+00,1.251796039584919029e+01,-2.427011917221094706e+01,0.000000000000000000e+00,-2.812452702239556679e+00
8.000000000000005718e-02,8.222104831523743274e-01,-1.599433317950724520e+00,1.234640978684064372e+01,-2.393489270101873245e+01,0.000000000000000000e+00,-2.407919423620761723e+00
8.200000000000005895e-02,8.467246009285949171e-01,-1.646955314429991768e+00,1.216937357249992502e+01,-2.359052976420119663e+01,0.000000000000000000e+00,-2.021753664590190347e+00
8.400000000000006073e-02,8.708803596529316460e-01,-1.693781924204043499e+00,1.198805576668236483e+01,-2.323954383031699322e+01,0.000000000000000000e+00,-1.651725473184825654e+00
8.600000000000006251e-02,8.946701665522297509e-01,-1.739901965675523243e+00,1.180340345499721444e+01,-2.288395517695184012e+01,0.000000000000000000e+00,-1.297161976210476686e+00
8.800000000000006428e-02,9.180882661250043819e-01,-1.785308186980156808e+00,1.161631062219043642e+01,-2.252568052155089262e+01,0.000000000000000000e+00,-9.618902542932618038e-01
9.000000000000006606e-02,9.411294354608206181e-01,-1.829994784198141877e+00,1.142642864802987646e+01,-2.216427716162543149e+01,0.000000000000000000e+00,-6.150079218671319348e-01
9.200000000000006783e-02,9.637894432791183075e-01,-1.873958280501118123e+00,1.123508625592348054e+01,-2.180249038071086787e+01,0.000000000000000000e+00,-3.071644494531126091e-01
9.400000000000006961e-02,9.860649300275479145e-01,-1.917197300236211044e+00,1.104184203528122410e+01,-2.143970821194122323e+01,0.000000000000000000e+00,9.453587462620427484e-03
9.600000000000007139e-02,1.007952669020248937e+00,-1.959711172606568796e+00,1.084726419462643676e+01,-2.107723421508015704e+01,0.000000000000000000e+00,3.031909860154154424e-01
9.800000000000007316e-02,1.029450290570441906e+00,-2.001501301998791504e+00,1.065164508602449622e+01,-2.071584694465998666e+01,0.000000000000000000e+00,5.797349769484274606e-01
1.000000000000000749e-01,1.050554921786300611e+00,-2.042568603682603623e+00,1.045419655698452388e+01,-2.035429421835950237e+01,0.000000000000000000e+00,8.714823163905620618e-01
1.020000000000000767e-01,1.071263504950110690e+00,-2.082914109734874231e+00,1.025551452555859377e+01,-1.999392837554350422e+01,0.000000000000000000e+00,1.134135583334710429e+00
1.040000000000000785e-01,1.091573549875854088e+00,-2.122540375800296530e+00,1.005557526597413975e+01,-1.963493005532104974e+01,0.000000000000000000e+00,1.385807844087999285e+00
1.060000000000000803e-01,1.111481823674957958e+00,-2.161449017229219560e+00,9.853663667072003918e+00,-1.927618630499992491e+01,0.000000000000000000e+00,1.648800925399376283e+00
1.080000000000000820e-01,1.130985216857675280e+00,-2.199642317871485897e+00,9.650611747774657800e+00,-1.891946314760405201e+01,0.000000000000000000e+00,1.871512308888560350e+00
1.100000000000000838e-01,1.150080507373519634e+00,-2.237122768894224567e+00,9.445483428580901730e+00,-1.856322032178773895e+01,0.000000000000000000e+00,2.112521310419710030e+00
1.120000000000000856e-01,1.168764229357875273e+00,-2.273892796287895202e+00,9.238964947335936984e+00,-1.820891812300928336e+01,0.000000000000000000e+00,2.316997709785888482e+00
1.140000000000000874e-01,1.187032685785941011e+00,-2.309954753542465156e+00,9.030145523569537147e+00,-1.785503825649318799e+01,0.000000000000000000e+00,2.539633127095982879e+00
1.160000000000000892e-01,1.204881216995621784e+00,-2.345309532792861251e+00,8.818970531282396053e+00,-1.750163023785793825e+01,0.000000000000000000e+00,2.751625776264758461e+00
1.180000000000000909e-01,1.222304818718737307e+00,-2.379957666098730495e+00,8.605151257957189159e+00,-1.714828651682339000e+01,0.000000000000000000e+00,2.961616669637392896e+00
1.200000000000000927e-01,1.239298919305189983e+00,-2.413900692218893695e+00,8.389406879777128623e+00,-1.679641496805600909e+01,0.000000000000000000e+00,3.134245333813482581e+00
