time,pos_meas1,pos_meas2,vel_meas1,vel_meas2,tau_con1,tau_con2
2.000000000000000042e-03,-4.555462522155842250e-04,8.877891708734136651e-04,-4.555246975518322805e-01,8.877483054646400085e-01,0.000000000000000000e+00,3.391034603118896484e+00
4.000000000000000083e-03,-1.854505937845732713e-03,3.614158827373995832e-03,-9.433659568865642164e-01,1.838490283155328031e+00,0.000000000000000000e+00,3.633574247360229492e+00
6.000000000000000125e-03,-4.207425187813913607e-03,8.199703189022701164e-03,-1.409428128660451751e+00,2.746815844566551590e+00,0.000000000000000000e+00,3.475762605667114258e+00
8.000000000000000167e-03,-7.482888281571949823e-03,1.458326600213822981e-02,-1.865842185513379548e+00,3.636378924301562510e+00,0.000000000000000000e+00,3.410987854003906250e+00
1.000000000000000021e-02,-1.166044439011593853e-02,2.272508339224472984e-02,-2.311437818300893454e+00,4.504909700597633737e+00,0.000000000000000000e+00,3.340847492218017578e+00
1.200000000000000025e-02,-1.665002926519133786e-02,3.244974644453028217e-02,-2.677790100261274731e+00,5.219068417026988094e+00,0.000000000000000000e+00,2.764786481857299805e+00
1.400000000000000029e-02,-2.239300264039071134e-02,4.364310244507074027e-02,-3.064715071390514467e+00,5.973386642454264539e+00,0.000000000000000000e+00,2.936463356018066406e+00
1.600000000000000033e-02,-2.890831074768011183e-02,5.634221236965997887e-02,-3.449994661537912233e+00,6.724569235576433712e+00,0.000000000000000000e+00,2.947977781295776367e+00
1.800000000000000211e-02,-3.619853864637265217e-02,7.055225843812260034e-02,-3.839475772935758258e+00,7.484012918408933679e+00,0.000000000000000000e+00,3.009660243988037109e+00
2.000000000000000389e-02,-4.430907508038716552e-02,8.636183942051349482e-02,-4.270070949299054064e+00,8.323650839388724521e+00,0.000000000000000000e+00,3.356537818908691406e+00
2.200000000000000566e-02,-5.321820886060021905e-02,1.037287866459414287e-01,-4.637919766342508687e+00,9.041080535205306745e+00,0.000000000000000000e+00,2.933471202850341797e+00
2.400000000000000744e-02,-6.283814730206623012e-02,1.224821527058836262e-01,-4.980689522505117317e+00,9.709706535652351533e+00,0.000000000000000000e+00,2.800323963165283203e+00
2.600000000000000921e-02,-7.315133086275599217e-02,1.425878504000544778e-01,-5.330908993666299445e+00,1.039291197985832405e+01,0.000000000000000000e+00,2.922891378402709961e+00
2.800000000000001099e-02,-8.409844722007991935e-02,1.639304207415668291e-01,-5.614533494579177386e+00,1.094640659079318468e+01,0.000000000000000000e+00,2.490017890930175781e+00
3.000000000000001277e-02,-9.570433741667629113e-02,1.865583714087003242e-01,-5.989160447425812883e+00,1.167726901011731044e+01,0.000000000000000000e+00,3.277601003646850586e+00
3.200000000000001454e-02,-1.078907692171923033e-01,2.103193499664294530e-01,-6.195370946775934584e+00,1.208001646807630358e+01,0.000000000000000000e+00,2.068551063537597656e+00
3.400000000000001632e-02,-1.206381070926723087e-01,2.351751683550185879e-01,-6.549253192049585337e+00,1.277051420228777090e+01,0.000000000000000000e+00,3.332689285278320312e+00
3.600000000000001810e-02,-1.341141866764081481e-01,2.614528381038884741e-01,-6.923648015758441687e+00,1.350095764593594794e+01,0.000000000000000000e+00,3.635323047637939453e+00
3.800000000000001987e-02,-1.482930169899852602e-01,2.891016672499279183e-01,-7.251860984040479075e+00,1.414139451848151019e+01,0.000000000000000000e+00,3.421077728271484375e+00
4.000000000000002165e-02,-1.630479445714186904e-01,3.178748553422249823e-01,-7.499906645075522071e+00,1.462563437113613318e+01,0.000000000000000000e+00,2.925332784652709961e+00
4.200000000000002343e-02,-1.783256555940458676e-01,3.476684769402180186e-01,-7.774211960694707990e+00,1.516098001257865846e+01,0.000000000000000000e+00,3.312484741210937500e+00
4.400000000000002520e-02,-1.941073797751600716e-01,3.784458714206463958e-01,-8.003986059179679202e+00,1.560953799797495911e+01,0.000000000000000000e+00,3.116004467010498047e+00
4.600000000000002698e-02,-2.103534758540677452e-01,4.101297091990031563e-01,-8.238333210557865272e+00,1.606693168744358857e+01,0.000000000000000000e+00,3.346151113510131836e+00
4.800000000000002875e-02,-2.270149520837871637e-01,4.426244503526404195e-01,-8.419637390592463078e+00,1.642097412186690875e+01,0.000000000000000000e+00,3.068952560424804688e+00
5.000000000000003053e-02,-2.439862608044670866e-01,4.757244819125768243e-01,-8.548541136704116639e+00,1.667295948726004440e+01,0.000000000000000000e+00,2.772493362426757812e+00
5.200000000000003231e-02,-2.612356282427290011e-01,5.093678620968307147e-01,-8.697443850807374588e+00,1.696382723160040129e+01,0.000000000000000000e+00,3.143858432769775391e+00
5.400000000000003408e-02,-2.787880264696717125e-01,5.436030764838342133e-01,-8.851454715943624763e+00,1.726456323386131686e+01,0.000000000000000000e+00,3.393025875091552734e+00
5.600000000000003586e-02,-2.965722333451512038e-01,5.782914160866950981e-01,-8.930019117146541063e+00,1.741845858471833708e+01,0.000000000000000000e+00,2.827489376068115234e+00
5.800000000000003764e-02,-3.145722507180285232e-01,6.134016642542978737e-01,-9.066642088568837465e+00,1.768524672020972588e+01,0.000000000000000000e+00,3.613141059875488281e+00
6.000000000000003941e-02,-3.326958021194453829e-01,6.487543050600996786e-01,-9.055237999184202025e+00,1.766416334097101171e+01,0.000000000000000000e+00,2.199055671691894531e+00
