time,pos_meas1,pos_meas2,vel_meas1,vel_meas2,tau_con1,tau_con2
0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,-2.297855615615844727e+00
2.000000000000000042e-03,2.034582199216971481e-04,-4.217478550462237514e-04,2.034520991160166936e-01,-4.217356349445337549e-01,0.000000000000000000e+00,-2.072929859161376953e+00
4.000000000000000083e-03,7.938437749695353984e-04,-1.645561689088605433e-03,3.869155593183440933e-01,-8.020424626123205947e-01,0.000000000000000000e+00,-2.044849991798400879e+00
6.000000000000000125e-03,1.748539758948844652e-03,-3.624575341178185202e-03,5.677510600131703278e-01,-1.176912534262580357e+00,0.000000000000000000e+00,-2.016598820686340332e+00
8.000000000000000167e-03,3.062205561735328527e-03,-6.347744871739622111e-03,7.458734961940817199e-01,-1.546174570139127624e+00,0.000000000000000000e+00,-1.988970637321472168e+00
1.000000000000000021e-02,4.729397876735492133e-03,-9.803823775226450446e-03,9.212650993458316728e-01,-1.909796922515125228e+00,0.000000000000000000e+00,-1.966780543327331543e+00
1.200000000000000025e-02,6.745060331343438569e-03,-1.398237806743615752e-02,1.094330390375208850e+00,-2.268623390387367600e+00,0.000000000000000000e+00,-1.949700951576232910e+00
1.400000000000000029e-02,9.104911589944628125e-03,-1.887459099346889754e-02,1.265439700526373334e+00,-2.623427027976725334e+00,0.000000000000000000e+00,-1.933483958244323730e+00
1.600000000000000033e-02,1.180502887283587342e-02,-2.447239999875871347e-02,1.434581110472913590e+00,-2.974188688290671845e+00,0.000000000000000000e+00,-1.917367458343505859e+00
1.800000000000000211e-02,1.484139133208502853e-02,-3.076755055134448510e-02,1.601668360848877759e+00,-3.320735315785957376e+00,0.000000000000000000e+00,-1.902004480361938477e+00
2.000000000000000389e-02,1.820985601696602577e-02,-3.775154672431366154e-02,1.766665511286658274e+00,-3.662998373628445492e+00,0.000000000000000000e+00,-1.884502172470092773e+00
2.200000000000000566e-02,2.190594437845583969e-02,-4.541520907968842752e-02,1.929272880421399217e+00,-4.000362840224386041e+00,0.000000000000000000e+00,-1.867536306381225586e+00
2.400000000000000744e-02,2.592480731419541384e-02,-5.374860266989619356e-02,2.089419546241325421e+00,-4.332688125887551145e+00,0.000000000000000000e+00,-1.851528167724609375e+00
2.600000000000000921e-02,3.026148290329096213e-02,-6.274157178126409107e-02,2.247063587059243250e+00,-4.659894003923280792e+00,0.000000000000000000e+00,-1.836720228195190430e+00
2.800000000000001099e-02,3.491093843281237868e-02,-7.238382755852679207e-02,2.402176126615917173e+00,-4.981927548761929003e+00,0.000000000000000000e+00,-1.823553085327148438e+00
3.000000000000001277e-02,3.986811387540691032e-02,-8.266503866008660661e-02,2.554758729641354975e+00,-5.298799207241129849e+00,0.000000000000000000e+00,-1.850865125656127930e+00
3.200000000000001454e-02,4.513136220869327225e-02,-9.358196365756453472e-02,2.708221022293705538e+00,-5.617584745043322947e+00,0.000000000000000000e+00,-1.899265050888061523e+00
3.400000000000001632e-02,5.070411983332646921e-02,-1.051419151184438405e-01,2.864236495588787346e+00,-5.941761778628644741e+00,0.000000000000000000e+00,-1.950499534606933594e+00
