time,pos_meas1,pos_meas2,vel_meas1,vel_meas2,tau_con1,tau_con2
0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,2.975935459136962891e+00
2.000000000000000042e-03,-2.634972005932309513e-04,5.462024548645513788e-04,-2.634892617709542750e-01,5.461866045881321741e-01,0.000000000000000000e+00,2.650382041931152344e+00
4.000000000000000083e-03,-1.025067889463493909e-03,2.124867038865874396e-03,-4.980581931239225213e-01,1.032431578543926864e+00,0.000000000000000000e+00,2.621274232864379883e+00
6.000000000000000125e-03,-2.253029848718242963e-03,4.670340942989173981e-03,-7.298654014605788776e-01,1.512965666955582211e+00,0.000000000000000000e+00,2.554908514022827148e+00
8.000000000000000167e-03,-3.938468189376434329e-03,8.164178966441629215e-03,-9.555185400854472322e-01,1.980763583229502967e+00,0.000000000000000000e+00,2.537248134613037109e+00
1.000000000000000021e-02,-6.073288786670559894e-03,1.258965075856191204e-02,-1.179230262415682740e+00,2.444564531258937912e+00,0.000000000000000000e+00,2.635277509689331055e+00
1.200000000000000025e-02,-8.663742502565562401e-03,1.795977555943837484e-02,-1.411131601381274470e+00,2.925376262053001053e+00,0.000000000000000000e+00,2.714469194412231445e+00
1.400000000000000029e-02,-1.172441291310637179e-02,2.430486047256307999e-02,-1.649423429974792299e+00,3.419477250559823212e+00,0.000000000000000000e+00,2.779388904571533203e+00
1.600000000000000033e-02,-1.526666747471412851e-02,3.164856248407187794e-02,-1.892688180675739851e+00,3.923937727418914445e+00,0.000000000000000000e+00,2.822445631027221680e+00
1.800000000000000211e-02,-1.929834175091841436e-02,4.000723561282500812e-02,-2.138811134094034561e+00,4.434383687376953986e+00,0.000000000000000000e+00,2.853972911834716797e+00
2.000000000000000389e-02,-2.382392914276384305e-02,4.939032604385387021e-02,-2.386564388106844792e+00,4.948280362292804213e+00,0.000000000000000000e+00,2.878243446350097656e+00
2.200000000000000566e-02,-2.884581521435538448e-02,5.980293274709098938e-02,-2.635067578559131984e+00,5.463814428766722742e+00,0.000000000000000000e+00,2.895291328430175781e+00
2.400000000000000744e-02,-3.436459569727065566e-02,7.124646880351508116e-02,-2.883410961071537049e+00,5.979112759439163760e+00,0.000000000000000000e+00,2.910132408142089844e+00
2.600000000000000921e-02,-4.037945580460064465e-02,8.371944997064516281e-02,-3.131093412850717517e+00,6.493150449267398372e+00,0.000000000000000000e+00,2.925466775894165039e+00
2.800000000000001099e-02,-4.688878006881580518e-02,9.721876128973350184e-02,-3.377815070030455225e+00,7.005321067360552156e+00,0.000000000000000000e+00,2.943588733673095703e+00
3.000000000000001277e-02,-5.389051621682496018e-02,1.117404140404153617e-01,-3.623438694733416732e+00,7.515356685469587461e+00,0.000000000000000000e+00,2.947366476058959961e+00
3.200000000000001454e-02,-6.138079588133434072e-02,1.272766891531625366e-01,-3.866286832297330722e+00,8.019797754739986573e+00,0.000000000000000000e+00,2.946717262268066406e+00
3.400000000000001632e-02,-6.935323900256448737e-02,1.438146976495304763e-01,-4.105525415754411434e+00,8.516934270923762540e+00,0.000000000000000000e+00,2.945971488952636719e+00
3.600000000000001810e-02,-7.780014819190024522e-02,1.613388590044785853e-01,-4.340671548974895266e+00,9.005785449390245390e+00,0.000000000000000000e+00,2.945124864578247070e+00
3.800000000000001987e-02,-8.671283385013131562e-02,1.798315775512762948e-01,-4.571216749040259764e+00,9.485318644990821113e+00,0.000000000000000000e+00,2.944175004959106445e+00
4.000000000000002165e-02,-9.608156860839597857e-02,1.992731503175383390e-01,-4.796632776945918053e+00,9.954461352237133909e+00,0.000000000000000000e+00,2.943117141723632812e+00
4.200000000000002343e-02,-1.058955543420271594e-01,2.196417007208727457e-01,-5.016378368830499035e+00,1.041211504211026018e+01,0.000000000000000000e+00,2.944029092788696289e+00
4.400000000000002520e-02,-1.161430812939045487e-01,2.409135103721614102e-01,-5.230084152396488051e+00,1.085753848930302468e+01,0.000000000000000000e+00,2.946239471435546875e+00
4.600000000000002698e-02,-1.268116417612499547e-01,2.630632564923084948e-01,-5.437323083059514062e+00,1.128987167067618458e+01,0.000000000000000000e+00,2.949006557464599609e+00
4.800000000000002875e-02,-1.378878193052799073e-01,2.860637835572148457e-01,-5.637615185300315801e+00,1.170814538807998595e+01,0.000000000000000000e+00,2.951786041259765625e+00
5.000000000000003053e-02,-1.493572112073788816e-01,3.098859434351581843e-01,-5.830455947838847131e+00,1.211133991251453246e+01,0.000000000000000000e+00,2.954557657241821289e+00
5.200000000000003231e-02,-1.612044345181341820e-01,3.344986084051450592e-01,-6.015371332245095459e+00,1.249849883416507623e+01,0.000000000000000000e+00,2.957302570343017578e+00
5.400000000000003408e-02,-1.734131971248060455e-01,3.598688185709724152e-01,-6.191927810181367065e+00,1.286874966357802030e+01,0.000000000000000000e+00,2.959961414337158203e+00
5.600000000000003586e-02,-1.859663848881237536e-01,3.859619621751987917e-01,-6.359738341340115397e+00,1.322131601913934773e+01,0.000000000000000000e+00,2.962293148040771484e+00
5.800000000000003764e-02,-1.988461487948904594e-01,4.127419555191531031e-01,-6.518456406811484527e+00,1.355550503571443599e+01,0.000000000000000000e+00,2.959524393081665039e+00
6.000000000000003941e-02,-2.120336408760986890e-01,4.401706934071941135e-01,-6.667432459224230890e+00,1.386999398367572667e+01,0.000000000000000000e+00,2.946828603744506836e+00
6.200000000000004119e-02,-2.255084385128912072e-01,4.682068514411476534e-01,-6.805744479183567286e+00,1.416289267499056592e+01,0.000000000000000000e+00,2.931767463684082031e+00
6.400000000000004297e-02,-2.392489720703714073e-01,4.968067694453718874e-01,-6.933165134236348059e+00,1.443375074260355184e+01,0.000000000000000000e+00,2.914496898651123047e+00
6.600000000000004474e-02,-2.532333210464634554e-01,5.259261002419617359e-01,-7.049570751810699143e+00,1.468233125692300511e+01,0.000000000000000000e+00,2.895388126373291016e+00
6.800000000000004652e-02,-2.674394350586032920e-01,5.555202648966668377e-01,-7.154954478278855667e+00,1.490863805643030915e+01,0.000000000000000000e+00,2.877063989639282227e+00
7.000000000000004829e-02,-2.818455223555237366e-01,5.855452561677337853e-01,-7.249579698059175570e+00,1.511323469345599335e+01,0.000000000000000000e+00,2.884211540222167969e+00
7.200000000000005007e-02,-2.964321110182800423e-01,6.159619194540746356e-01,-7.335489595144085051e+00,1.530038323549577228e+01,0.000000000000000000e+00,2.915204524993896484e+00
7.400000000000005185e-02,-3.111836157462351538e-01,6.467392131802616184e-01,-7.414526214990896591e+00,1.547393184612363370e+01,0.000000000000000000e+00,2.935187339782714844e+00
7.600000000000005362e-02,-3.260857028419494319e-01,6.778487379415076841e-01,-7.486114707969572457e+00,1.563270627563569093e+01,0.000000000000000000e+00,2.935940742492675781e+00
7.800000000000005540e-02,-3.411224533173174978e-01,7.092588369673433757e-01,-7.549247961486083902e+00,1.577463012831627687e+01,0.000000000000000000e+00,2.944221496582031250e+00
8.000000000000005718e-02,-3.562777998005758895e-01,7.409375789435841408e-01,-7.604770391638612459e+00,1.590147611532067629e+01,0.000000000000000000e+00,2.953293800354003906e+00
8.200000000000005895e-02,-3.715369242617537204e-01,7.728556647456658046e-01,-7.653088949403173302e+00,1.601410782327404903e+01,0.000000000000000000e+00,2.955294609069824219e+00
8.400000000000006073e-02,-3.868853562420435654e-01,8.049845515705970067e-01,-7.694146964538792766e+00,1.611242346238009304e+01,0.000000000000000000e+00,2.957221269607543945e+00
8.600000000000006251e-02,-4.023089850698796655e-01,8.372964773278063211e-01,-7.728356312983778231e+00,1.619729620665053815e+01,0.000000000000000000e+00,2.959075927734375000e+00
8.800000000000006428e-02,-4.177945308243010691e-01,8.697654414147810709e-01,-7.756134827974611845e+00,1.626961224135623496e+01,0.000000000000000000e+00,2.960863590240478516e+00
9.000000000000006606e-02,-4.333295504059123671e-01,9.023672188056507393e-01,-7.777900580960495525e+00,1.633025908586488839e+01,0.000000000000000000e+00,2.944670677185058594e+00
9.200000000000006783e-02,-4.489014368358956175e-01,9.350772739895754082e-01,-7.793079160556843910e+00,1.637805395189733559e+01,0.000000000000000000e+00,2.869133949279785156e+00
9.400000000000006961e-02,-4.644942809019387275e-01,9.678642061283677656e-01,-7.798960359971403911e+00,1.640734975124073713e+01,0.000000000000000000e+00,2.751773357391357422e+00
9.600000000000007139e-02,-4.800879819828627881e-01,1.000687869573192668e+00,-7.794052587067631599e+00,1.641502752396751319e+01,0.000000000000000000e+00,2.603856325149536133e+00
9.800000000000007316e-02,-4.956602262593320374e-01,1.033503477066552989e+00,-7.777627051404802927e+00,1.639954992511792753e+01,0.000000000000000000e+00,2.470489025115966797e+00
1.000000000000000749e-01,-5.111896260699865246e-01,1.066268141763580202e+00,-7.751317859491200224e+00,1.636431263723296325e+01,0.000000000000000000e+00,2.149639606475830078e+00
1.020000000000000767e-01,-5.266480111485732918e-01,1.098924742942640753e+00,-7.706790246787149634e+00,1.629185057424923855e+01,0.000000000000000000e+00,1.712330818176269531e+00
1.040000000000000785e-01,-5.419947849513448990e-01,1.131390049874591242e+00,-7.639915855675860179e+00,1.617344392592685764e+01,0.000000000000000000e+00,1.559066891670227051e+00
1.060000000000000803e-01,-5.572002806496886285e-01,1.163603549833509332e+00,-7.565595776530086525e+00,1.604021592735616508e+01,0.000000000000000000e+00,1.534974932670593262e+00
1.080000000000000820e-01,-5.722561699356372156e-01,1.195549332139520970e+00,-7.490337394038427021e+00,1.590578669757153385e+01,0.000000000000000000e+00,1.272261857986450195e+00
1.100000000000000838e-01,-5.871500963841466136e-01,1.227203015943497899e+00,-7.403739680668721235e+00,1.574833454298953050e+01,0.000000000000000000e+00,1.148414611816406250e+00
1.120000000000000856e-01,-6.018663360320178901e-01,1.258533097737427831e+00,-7.312699277182546531e+00,1.558228511573733144e+01,0.000000000000000000e+00,1.108122467994689941e+00
1.140000000000000874e-01,-6.163999751844841946e-01,1.289530708864286668e+00,-7.221154689028973728e+00,1.541589786283029362e+01,0.000000000000000000e+00,1.142279505729675293e+00
1.160000000000000892e-01,-6.307532428260848034e-01,1.320201987275068323e+00,-7.132317233925695277e+00,1.525593465600324805e+01,0.000000000000000000e+00,1.111556768417358398e+00
1.180000000000000909e-01,-6.449288023778829704e-01,1.350554021019624740e+00,-7.043454608573072484e+00,1.509667213599364466e+01,0.000000000000000000e+00,9.294966459274291992e-01
1.200000000000000927e-01,-6.589206073099174166e-01,1.380575591980935934e+00,-6.948611061709898173e+00,1.492557010540801876e+01,0.000000000000000000e+00,7.511901855468750000e-01
1.220000000000000945e-01,-6.727172725378872675e-01,1.410244200444476625e+00,-6.848356015336234393e+00,1.474379249733117980e+01,0.000000000000000000e+00,4.842367172241210938e-01
1.240000000000000963e-01,-6.863049388940392070e-01,1.439532052753171643e+00,-6.739670522289268106e+00,1.454492946692319322e+01,0.000000000000000000e+00,3.904395103454589844e-01
1.260000000000000842e-01,-6.996738221862951468e-01,1.468419857133350215e+00,-6.629580735371501277e+00,1.434376023793584665e+01,0.000000000000000000e+00,3.562738895416259766e-01
1.280000000000000859e-01,-7.128234336949146321e-01,1.496907893146077084e+00,-6.520390002041948740e+00,1.414514423431183765e+01,0.000000000000000000e+00,3.407578468322753906e-01
1.300000000000000877e-01,-7.257562201970125804e-01,1.525002646767544379e+00,-6.412742192100701288e+00,1.395045155016128113e+01,0.000000000000000000e+00,3.144514560699462891e-01
1.320000000000000895e-01,-7.384748109988560349e-01,1.552711010786458568e+00,-6.306183141677289328e+00,1.375873285550944658e+01,0.000000000000000000e+00,3.118643760681152344e-01
1.340000000000000913e-01,-7.509821661642013257e-01,1.580040601203694273e+00,-6.201490321894548075e+00,1.357164634624468569e+01,0.000000000000000000e+00,2.910032272338867188e-01
1.360000000000000930e-01,-7.632812921914304827e-01,1.606999158707679065e+00,-6.097941899990375170e+00,1.338767623991761724e+01,0.000000000000000000e+00,2.651163339614868164e-01
1.380000000000000948e-01,-7.753742468962784296e-01,1.633592435781031416e+00,-5.995307994603177981e+00,1.320634421878780529e+01,0.000000000000000000e+00,2.575821876525878906e-01
1.400000000000000966e-01,-7.872634213465253827e-01,1.659826911637496627e+00,-5.894147347136451387e+00,1.302884700354378822e+01,0.000000000000000000e+00,2.609664201736450195e-01
1.420000000000000984e-01,-7.989520405724923613e-01,1.685710862369351526e+00,-5.794737015268570879e+00,1.285578833903831608e+01,0.000000000000000000e+00,2.587294578552246094e-01
