time,pos_meas1,pos_meas2,vel_meas1,vel_meas2,tau_con1,tau_con2
0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,-1.073567288862611102e+00
2.000000000000000042e-03,9.505649172911766252e-05,-1.970422797414713356e-04,9.505363698316650345e-02,-1.970365805025365014e-01,0.000000000000000000e+00,-1.026819310129353457e+00
4.000000000000000083e-03,3.760525064308377872e-04,-7.795205874397988623e-04,1.859339238337305578e-01,-3.854248490772096414e-01,0.000000000000000000e+00,-9.818584838159792882e-01
6.000000000000000125e-03,8.347664206435995117e-04,-1.730400099650778508e-03,2.727661433548250192e-01,-5.654270155104681450e-01,0.000000000000000000e+00,-9.386480238558262412e-01
8.000000000000000167e-03,1.463225106892935331e-03,-3.033166018773251517e-03,3.556734837887457479e-01,-7.373008452578997396e-01,0.000000000000000000e+00,-8.971421635214965606e-01
1.000000000000000021e-02,2.253698818988975321e-03,-4.671812771815430157e-03,4.347761201806997211e-01,-9.012977610499683934e-01,0.000000000000000000e+00,-8.572916419586732450e-01
1.200000000000000025e-02,3.198694765782866996e-03,-6.630830500912546568e-03,5.101908202639513501e-01,-1.057662030565817979e+00,0.000000000000000000e+00,-8.190459856070005928e-01
1.400000000000000029e-02,4.290950131157286393e-03,-8.895190414185768016e-03,5.820307837488162273e-01,-1.206630436935999695e+00,0.000000000000000000e+00,-7.823546274821724378e-01
1.600000000000000033e-02,5.523424897691657856e-03,-1.145032973608742406e-02,6.504056057906170141e-01,-1.348432205851840315e+00,0.000000000000000000e+00,-7.471675063465184063e-01
1.800000000000000211e-02,6.889294670764782927e-03,-1.428213666366112515e-02,7.154213131696358641e-01,-1.483289082758614486e+00,0.000000000000000000e+00,-7.134354021102298216e-01
2.000000000000000389e-02,8.381943620442817988e-03,-1.737693557082777701e-02,7.771804452205183233e-01,-1.611415502307671055e+00,0.000000000000000000e+00,-6.811101289521794833e-01
2.200000000000000566e-02,9.994957614053119610e-03,-2.072147261092897874e-02,8.357821630123277723e-01,-1.733018815984337380e+00,0.000000000000000000e+00,-6.501446491461151389e-01
2.400000000000000744e-02,1.172211758555120019e-02,-2.430290181243463521e-02,8.913223764720550335e-01,-1.848299556644212638e+00,0.000000000000000000e+00,-6.204931416210259787e-01
2.600000000000000921e-02,1.355739317073014795e-02,-2.810877172754250308e-02,9.438938826895811873e-01,-1.957451726022980232e+00,0.000000000000000000e+00,-5.921110440163817046e-01
2.800000000000001099e-02,1.549493662592833776e-02,-3.212701266992946253e-02,9.935865107625743153e-01,-2.060663095666360967e+00,0.000000000000000000e+00,-5.649550787082664449e-01
3.000000000000001277e-02,1.752907703994013161e-02,-3.634592456155616436e-02,1.040487269863038966e+00,-2.158115514457693340e+00,0.000000000000000000e+00,-5.389832687173188308e-01
3.200000000000001454e-02,1.965431484306898874e-02,-4.075416539657714110e-02,1.084680498070942134e+00,-2.249985217700661622e+00,0.000000000000000000e+00,-5.141549468637305331e-01
3.400000000000001632e-02,2.186531661295026269e-02,-4.534074032155196998e-02,1.126248010110826758e+00,-2.336443133929898330e+00,0.000000000000000000e+00,-4.904307600965133185e-01
3.600000000000001810e-02,2.415691017347038408e-02,-5.009499132437735675e-02,1.165269242549339834e+00,-2.417655186489467312e+00,0.000000000000000000e+00,-4.677726700985208041e-01
3.800000000000001987e-02,2.652407998054345448e-02,-5.500658751909343058e-02,1.201821395325174846e+00,-2.493782587562871633e+00,0.000000000000000000e+00,-4.461439507844780494e-01
4.000000000000002165e-02,2.896196278649382227e-02,-6.006551600958635190e-02,1.235979568723383659e+00,-2.564982122831245714e+00,0.000000000000000000e+00,-4.255091830177070156e-01
4.200000000000002343e-02,3.146584357320951486e-02,-6.526207331195671424e-02,1.267816895094752594e+00,-2.631406425323075116e+00,0.000000000000000000e+00,-4.058342466900989876e-01
4.400000000000002520e-02,3.403115174298636247e-02,-7.058685731276431730e-02,1.297404664771510951e+00,-2.693204237327031070e+00,0.000000000000000000e+00,-3.870863101934898243e-01
4.600000000000002698e-02,3.665345755500926117e-02,-7.603075973835685120e-02,1.324812445751942347e+00,-2.750520659487710073e+00,0.000000000000000000e+00,-3.692338172332970681e-01
4.800000000000002875e-02,3.932846879466264656e-02,-8.158495910893513725e-02,1.350108196824688633e+00,-2.803497386404926406e+00,0.000000000000000000e+00,-3.522464708824892266e-01
5.000000000000003053e-02,4.205202766228548217e-02,-8.724091414981575976e-02,1.373358373883111661e+00,-2.852272928219858450e+00,0.000000000000000000e+00,-3.329774970277847856e-01
5.200000000000003231e-02,4.481983350074974365e-02,-9.298978886394562715e-02,1.394353742782564520e+00,-2.896414214087240868e+00,0.000000000000000000e+00,-3.180446271495480093e-01
5.400000000000003408e-02,4.762775120710553700e-02,-9.882309171644247658e-02,1.413468944176201392e+00,-2.936698475419916576e+00,0.000000000000000000e+00,-3.038270792395586506e-01
5.600000000000003586e-02,5.047207699901940653e-02,-1.047332264445156175e-01,1.430760718422154243e+00,-2.973243876954644094e+00,0.000000000000000000e+00,-2.903085545497540720e-01
5.800000000000003764e-02,5.334922023157706583e-02,-1.107128323405520004e-01,1.446285459437554710e+00,-3.006167802840498116e+00,0.000000000000000000e+00,-2.774708018825762790e-01
6.000000000000003941e-02,5.625570250594675442e-02,-1.167547822810476033e-01,1.460099015520490040e+00,-3.035586445261424515e+00,0.000000000000000000e+00,-2.652951781378887763e-01
6.200000000000004119e-02,5.918815651307805792e-02,-1.228521802093894694e-01,1.472256623597160807e+00,-3.061614669732726668e+00,0.000000000000000000e+00,-2.537633802099387159e-01
