time,pos_meas1,pos_meas2,vel_meas1,vel_meas2,tau_con1,tau_con2
0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,-1.090207556052498195e+00
2.000000000000000042e-03,9.652986505312278575e-05,-2.000964303147821557e-04,9.652696601510503405e-02,-2.000906426488316681e-01,0.000000000000000000e+00,-1.039924344180126470e+00
4.000000000000000083e-03,3.816324486875386423e-04,-7.910872714944055129e-04,1.885670396307541630e-01,-3.908830726151095725e-01,0.000000000000000000e+00,-9.918365686719818886e-01
6.000000000000000125e-03,8.464947497688246527e-04,-1.754711948842980259e-03,2.762812268235850244e-01,-5.727135824444211654e-01,0.000000000000000000e+00,-9.458581587271921443e-01
8.000000000000000167e-03,1.482619439265242360e-03,-3.073369219734346444e-03,3.598241666679359851e-01,-7.459051568435356439e-01,0.000000000000000000e+00,-9.019064092616733141e-01
1.000000000000000021e-02,2.281812283225975041e-03,-4.730090889858995680e-03,4.393442957428428941e-01,-9.107678201601097090e-01,0.000000000000000000e+00,-8.599019311464420889e-01
1.200000000000000025e-02,3.236169933572008005e-03,-6.708516303860063285e-03,5.149840500792695064e-01,-1.067599060315330695e+00,0.000000000000000000e+00,-8.197685743149785154e-01
1.400000000000000029e-02,4.338068150526471975e-03,-8.992867740210882047e-03,5.868800936174477512e-01,-1.216684306592190845e+00,0.000000000000000000e+00,-7.814333307950733776e-01
1.600000000000000033e-02,5.580150500493821601e-03,-1.156792679918234278e-02,6.551635641558557488e-01,-1.358297442808917843e+00,0.000000000000000000e+00,-7.448262234571466633e-01
1.800000000000000211e-02,6.955317556886409305e-03,-1.441901183934768925e-02,7.199603294721417246e-01,-1.492701340891611661e+00,0.000000000000000000e+00,-7.098801852037514015e-01
2.000000000000000389e-02,8.456716618210815412e-03,-1.753195649108055601e-02,7.813912477256659272e-01,-1.620148402791630859e+00,0.000000000000000000e+00,-6.765309324266239877e-01
2.200000000000000566e-02,1.007773194716499524e-02,-2.089308925389334048e-02,8.395724274501048523e-01,-1.740881101151451338e+00,0.000000000000000000e+00,-6.447168358039390146e-01
2.400000000000000744e-02,1.181197552613427910e-02,-2.448921416736166840e-02,8.946154834469528527e-01,-1.855132511177870258e+00,0.000000000000000000e+00,-6.143787908797980757e-01
2.600000000000000921e-02,1.365327831794686461e-02,-2.830759253204264553e-02,9.466277857265776863e-01,-1.963126827894745574e+00,0.000000000000000000e+00,-5.854600903418896163e-01
2.800000000000001099e-02,1.559568201575067294e-02,-3.233592564658961666e-02,9.957126993384758373e-01,-2.065079864371814455e+00,0.000000000000000000e+00,-5.579062994755503713e-01
3.000000000000001277e-02,1.763343126214389489e-02,-3.656233851966238235e-02,1.041969813508602405e+00,-2.161199527706822554e+00,0.000000000000000000e+00,-5.316651359092002815e-01
3.200000000000001454e-02,1.976096631501288864e-02,-4.097536450978072481e-02,1.085495158977895613e+00,-2.251686270513772570e+00,0.000000000000000000e+00,-5.066863544657236318e-01
3.400000000000001632e-02,2.197291613571945509e-02,-4.556393084259422604e-02,1.126381412828298956e+00,-2.336733516473266548e+00,0.000000000000000000e+00,-4.829216376866948823e-01
3.600000000000001810e-02,2.426409187418032687e-02,-5.031734495282513819e-02,1.164718090404129880e+00,-2.416528059159186892e+00,0.000000000000000000e+00,-4.603244923930535637e-01
3.800000000000001987e-02,2.662948072486544249e-02,-5.522528159711791867e-02,1.200591724198822430e+00,-2.491250433892514327e+00,0.000000000000000000e+00,-4.388501524798130715e-01
4.000000000000002165e-02,2.906424012769868309e-02,-6.027777068397484339e-02,1.234086029789356775e+00,-2.561075262807329445e+00,0.000000000000000000e+00,-4.184554880076904460e-01
4.200000000000002343e-02,3.156369228818402262e-02,-6.546518576768400877e-02,1.265282059070977239e+00,-2.626171573662190450e+00,0.000000000000000000e+00,-3.990989205461982769e-01
4.400000000000002520e-02,3.412331899172361960e-02,-7.077823315449537078e-02,1.294258341179716387e+00,-2.686703093205736526e+00,0.000000000000000000e+00,-3.807403446365537625e-01
4.600000000000002698e-02,3.673875668797786653e-02,-7.620794157113920664e-02,1.321091011595311171e+00,-2.742828516119845794e+00,0.000000000000000000e+00,-3.633410551752781492e-01
4.800000000000002875e-02,3.940579182218494070e-02,-8.174565234799639757e-02,1.345853929996957188e+00,-2.794701750726506617e+00,0.000000000000000000e+00,-3.468636804676009100e-01
5.000000000000003053e-02,4.212035639156344602e-02,-8.738301007172637191e-02,1.368618787502873468e+00,-2.842472142763686538e+00,0.000000000000000000e+00,-3.312721206613494784e-01
5.200000000000003231e-02,4.487852370622618520e-02,-9.311195366485564007e-02,1.389455203965127561e+00,-2.886284678617645039e+00,0.000000000000000000e+00,-3.165314912447684259e-01
5.400000000000003408e-02,4.767650433540311650e-02,-9.892470785265940203e-02,1.408430816016369658e+00,-2.926280169450003577e+00,0.000000000000000000e+00,-3.026080712739392942e-01
5.600000000000003586e-02,5.051064222117888219e-02,-1.048137749805733709e-01,1.425611356577395572e+00,-2.962595417682297505e+00,0.000000000000000000e+00,-2.894692559856879011e-01
5.800000000000003764e-02,5.337741094337089542e-02,-1.107719271483035006e-01,1.441060726535850600e+00,-2.995363367302872337e+00,0.000000000000000000e+00,-2.770835134487380502e-01
6.000000000000003941e-02,5.627341012058837549e-02,-1.167921986297173059e-01,1.454841059298618067e+00,-3.024713239444391633e+00,0.000000000000000000e+00,-2.654203449083447630e-01
6.200000000000004119e-02,5.919536193390353279e-02,-1.228678785504673521e-01,1.467012778905065984e+00,-3.050770654648070401e+00,0.000000000000000000e+00,-2.544502484867414704e-01
6.400000000000004297e-02,6.214010776091991040e-02,-1.289925037980868272e-01,1.477634652366662138e+00,-3.073657743185742142e+00,0.000000000000000000e+00,-2.441446859126109314e-01
6.600000000000004474e-02,6.510460490932817867e-02,-1.351598521419861698e-01,1.486763836871709321e+00,-3.093493244755448845e+00,0.000000000000000000e+00,-2.344760519667151155e-01
6.800000000000004652e-02,6.808592344028714660e-02,-1.413639355433488343e-01,1.494455922463142183e+00,-3.110392598802557362e+00,0.000000000000000000e+00,-2.254176463471767311e-01
7.000000000000004829e-02,7.108124307315062673e-02,-1.475989936373602318e-01,1.500764970763395878e+00,-3.124468026648351326e+00,0.000000000000000000e+00,-2.169436476760588650e-01
7.200000000000005007e-02,7.408785016417306080e-02,-1.538594873724941081e-01,1.505743550284145638e+00,-3.135828606533369811e+00,0.000000000000000000e+00,-2.090290893883748891e-01
7.400000000000005185e-02,7.710313475286541263e-02,-1.601400927937187413e-01,1.509442768820957514e+00,-3.144580342604933243e+00,0.000000000000000000e+00,-2.016498372650460669e-01
7.600000000000005362e-02,8.012458767063472542e-02,-1.664356949584654133e-01,1.511912303394263635e+00,-3.150826228798731421e+00,0.000000000000000000e+00,-1.947825683921452500e-01
7.800000000000005540e-02,8.314979770722497054e-02,-1.727413819760225400e-01,1.513200428159141575e+00,-3.154666308484188164e+00,0.000000000000000000e+00,-1.884047513497331128e-01
8.000000000000005718e-02,8.617644883128346145e-02,-1.790524391626786560e-01,1.513354040667680200e+00,-3.156197730663666157e+00,0.000000000000000000e+00,-1.824946274544107516e-01
8.200000000000005895e-02,8.920231746210698087e-02,-1.853643433064403045e-01,1.512418686829678283e+00,-3.155514803437321714e+00,0.000000000000000000e+00,-1.770311929000447648e-01
8.400000000000006073e-02,9.222526979027624583e-02,-1.916727570364986921e-01,1.510438584880442470e+00,-3.152709045369360918e+00,0.000000000000000000e+00,-1.719941816608387686e-01
