time,pos_meas1,pos_meas2,vel_meas1,vel_meas2,pos_filt1,pos_filt2,vel_filt1,vel_filt2,tau_con1,tau_con2,tau_fric1,tau_fric2,tau_meas1,tau_meas2,tau_pert1,tau_pert2
0.000000000000000000e+00,1.907377737087045944e-04,-1.907377737087045944e-04,5.494505494507251342e-03,-5.494505494507251342e-03,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,1.343034625053405762e+00,-1.857987232506275177e-02,0.000000000000000000e+00,0.000000000000000000e+00,2.930402930402919992e-03,2.930402930402919992e-03,-7.148657412161972407e-27,4.177347857190622948e-260
4.426002502441406250e-03,1.907377737087045944e-04,-1.907377737087045944e-04,0.000000000000000000e+00,0.000000000000000000e+00,1.907377737087045944e-04,-1.907377737087045944e-04,5.494505494507251342e-03,-5.494505494507251342e-03,1.343034625053405762e+00,-1.857987232506275177e-02,0.000000000000000000e+00,0.000000000000000000e+00,2.930402930402919992e-03,-2.930402930402919992e-03,-9.034477732076202570e-27,8.792626759392246545e-260
1.067996025085449219e-02,9.536888685435229718e-04,-1.907377737087045944e-04,1.219949231394174133e-01,0.000000000000000000e+00,1.907377737087045944e-04,-1.907377737087045944e-04,0.000000000000000000e+00,0.000000000000000000e+00,1.450401216745376587e+00,-1.910346187651157379e-02,0.000000000000000000e+00,0.000000000000000000e+00,8.351648351648357504e-01,-2.930402930402919992e-03,-1.141248491658401125e-26,1.849842643318548995e-259
1.342535018920898438e-02,1.335164415960932160e-03,-5.722133211261137831e-04,1.389513169287910632e-01,-1.389513169287910632e-01,9.536888685435229718e-04,-1.907377737087045944e-04,1.219949231394174133e-01,0.000000000000000000e+00,1.491417109966278076e+00,-1.957801543176174164e-02,0.000000000000000000e+00,0.000000000000000000e+00,1.093040293040292710e+00,2.930402930402919992e-03,-1.440973449998832229e-26,3.889995397909958098e-259
1.614022254943847656e-02,1.716639963378341349e-03,-1.335164415960932160e-03,1.405132532216588348e-01,-2.810265064433176696e-01,1.335164415960932160e-03,-5.722133211261137831e-04,1.389513169287910632e-01,-1.389513169287910632e-01,1.460206031799316406e+00,-1.992326974868774414e-02,0.000000000000000000e+00,0.000000000000000000e+00,1.274725274725275526e+00,2.930402930402919992e-03,-1.818571325844681182e-26,8.176388907793302809e-259
1.901817321777343750e-02,2.479591058213159727e-03,-1.716639963378341349e-03,2.651022143045363433e-01,-1.325511071522681716e-01,1.716639963378341349e-03,-1.335164415960932160e-03,1.405132532216588348e-01,-2.810265064433176696e-01,1.616302907466888428e+00,-2.080833539366722107e-02,0.000000000000000000e+00,0.000000000000000000e+00,1.403663003663004005e+00,1.465201465201459996e-02,-2.294052205646160023e-26,1.717798207878664239e-258
2.166938781738281250e-02,2.861066605630568915e-03,-2.479591058213159727e-03,1.438870876290493650e-01,-2.877741752580987300e-01,2.479591058213159727e-03,-1.716639963378341349e-03,2.651022143045363433e-01,-1.325511071522681716e-01,1.559027373790740967e+00,-2.091346122324466705e-02,0.000000000000000000e+00,0.000000000000000000e+00,1.456410256410256565e+00,2.051282051282043994e-02,-2.892509888735740001e-26,3.607288708263505352e-258
2.415466308593750000e-02,3.624017700465387293e-03,-3.624017700465387293e-03,3.069885676199211599e-01,-4.604828514298817121e-01,2.861066605630568915e-03,-2.479591058213159727e-03,1.438870876290493650e-01,-2.877741752580987300e-01,1.583658099174499512e+00,-2.169795520603656769e-02,0.000000000000000000e+00,0.000000000000000000e+00,1.544322344322344165e+00,2.051282051282043994e-02,-3.645398457780804784e-26,7.571602595560598619e-258
2.680039405822753906e-02,4.386968795300205670e-03,-4.768444342717614859e-03,2.883706252924266300e-01,-4.325559379386398895e-01,3.624017700465387293e-03,-3.624017700465387293e-03,3.069885676199211599e-01,-4.604828514298817121e-01,1.598338365554809570e+00,-2.224458754062652588e-02,0.000000000000000000e+00,0.000000000000000000e+00,1.544322344322344165e+00,2.637362637362627993e-02,-4.592125582186703459e-26,1.588520678513986959e-257
2.957940101623535156e-02,5.531395437552433236e-03,-6.294346532387251614e-03,4.118113626720218967e-01,-5.490818168960291956e-01,4.386968795300205670e-03,-4.768444342717614859e-03,2.883706252924266300e-01,-4.325559379386398895e-01,1.668602764606475830e+00,-2.321170270442962646e-02,0.000000000000000000e+00,0.000000000000000000e+00,1.579487179487179205e+00,3.223443223443211991e-02,-5.782040173641853404e-26,3.331164548061310029e-257
