time,pos_meas1,pos_meas2,vel_meas1,vel_meas2,pos_filt1,pos_filt2,vel_filt1,vel_filt2,tau_con1,tau_con2,tau_fric1,tau_fric2,tau_meas1,tau_meas2,tau_pert1,tau_pert2
0.000000000000000000e+00,1.907377737087045944e-04,-1.907377737087045944e-04,3.846153846154010125e-02,-5.494505494507251342e-03,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,2.992338895797729492e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,8.791208791208759976e-03,-8.791208791208759976e-03,-1.528878145694654443e-91,-1.883322800821478169e-145
1.031851768493652344e-02,5.722133211261137831e-04,-1.907377737087045944e-04,3.696999501917856007e-02,0.000000000000000000e+00,1.907377737087045944e-04,-1.907377737087045944e-04,3.846153846154010125e-02,-5.494505494507251342e-03,2.992338895797729492e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,8.791208791208759976e-03,-2.930402930402919992e-03,-2.909920600184117296e-91,-3.326317687944155407e-145
1.342868804931640625e-02,9.536888685435229718e-04,-5.722133211261137831e-04,1.226542287799945591e-01,-1.226542287799945591e-01,5.722133211261137831e-04,-1.907377737087045944e-04,3.696999501917856007e-02,0.000000000000000000e+00,2.992338895797729492e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,1.204395604395603669e+00,-2.930402930402919992e-03,-5.532945590456564630e-91,-5.872066953178119970e-145
1.765680313110351562e-02,4.768444342717614859e-03,-1.907377737087045944e-04,9.022354880089258344e-01,9.022354880089257512e-02,9.536888685435229718e-04,-5.722133211261137831e-04,1.226542287799945591e-01,-1.226542287799945591e-01,2.992338895797729492e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,1.714285714285713524e+00,-8.791208791208759976e-03,-1.050990170231435511e-90,-1.036111716906084968e-144
2.176666259765625000e-02,1.010910200656134350e-02,-9.536888685435229718e-04,1.299474521527463011e+00,-1.856392173610661445e-01,4.768444342717614859e-03,-1.907377737087045944e-04,9.022354880089258344e-01,9.022354880089257512e-02,2.992338895797729492e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,3.249816849816848929e+00,8.791208791208759976e-03,-1.994379966270306735e-90,-1.827302649126852910e-144
2.410078048706054688e-02,1.087205310139616188e-02,-2.861066605630568915e-03,3.268691347160426752e-01,-8.171728367901067713e-01,1.010910200656134350e-02,-9.536888685435229718e-04,1.299474521527463011e+00,-1.856392173610661445e-01,2.996013164520263672e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,3.038827838827838690e+00,2.139194139194131594e-01,-3.780803845514507460e-90,-3.221088782344771158e-144
2.865624427795410156e-02,1.506828412298766295e-02,-8.964675364309115935e-03,9.211424377864301238e-01,-1.339843545871171049e+00,1.087205310139616188e-02,-2.861066605630568915e-03,3.268691347160426752e-01,-8.171728367901067713e-01,2.996013164520263672e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,3.009523809523809490e+00,1.670329670329664395e-01,-7.160236765378025555e-90,-5.675226768310806301e-144
3.065896034240722656e-02,1.659418631265729971e-02,-1.163500419623098026e-02,7.619163878262042999e-01,-1.333353678695857525e+00,1.506828412298766295e-02,-8.964675364309115935e-03,9.211424377864301238e-01,-1.339843545871171049e+00,2.996013164520263672e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,2.997802197802197810e+00,1.201465201465197197e-01,-1.354682793435716620e-89,-9.994292517521442985e-144
3.275203704833984375e-02,1.850156404974434565e-02,-1.430533302815284458e-02,9.112794250114073513e-01,-1.275791195015970381e+00,1.659418631265729971e-02,-1.163500419623098026e-02,7.619163878262042999e-01,-1.333353678695857525e+00,2.996013164520263672e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,2.816117216117216770e+00,1.611721611721605996e-01,-2.560441396988844101e-89,-1.759175653732867571e-143
3.475284576416015625e-02,2.117189288166620997e-02,-1.812008850232693646e-02,1.334624749886225370e+00,-1.906606785551750560e+00,1.850156404974434565e-02,-1.430533302815284458e-02,9.112794250114073513e-01,-1.275791195015970381e+00,2.996013164520263672e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,2.581684981684981395e+00,2.315018315018306794e-01,-4.834583438591761725e-89,-3.094957346455577706e-143
