time,pos_meas1,pos_meas2,vel_meas1,vel_meas2,pos_filt1,pos_filt2,vel_filt1,vel_filt2,tau_con1,tau_con2,tau_fric1,tau_fric2,tau_meas1,tau_meas2,tau_pert1,tau_pert2
0.000000000000000000e+00,1.907377737087045944e-04,-5.722133211261137831e-04,1.043956043956058011e-01,-5.494505494507251342e-03,1.907377737087045944e-04,-5.722133211261137831e-04,1.043956043956058011e-01,-5.494505494507251342e-03,1.733337879180908203e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,2.930402930402919992e-03,-8.791208791208759976e-03,1.465557211350070985e-142,0.000000000000000000e+00
9.363412857055664062e-03,-1.907377737087045944e-04,-1.907377737087045944e-04,-4.074107948043258903e-02,4.074107948043258903e-02,-1.907377737087045944e-04,-1.907377737087045944e-04,-4.074107948043258903e-02,4.074107948043258903e-02,1.723229169845581055e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,2.930402930402919992e-03,-2.930402930402919992e-03,3.233673997401187898e-142,0.000000000000000000e+00
1.444625854492187500e-02,9.536888685435229718e-04,-5.722133211261137831e-04,2.251547091001026013e-01,-7.505156970003419581e-02,9.536888685435229718e-04,-5.722133211261137831e-04,2.251547091001026013e-01,-7.505156970003419581e-02,1.730154991149902344e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,8.234432234432240705e-01,-8.791208791208759976e-03,7.128065801759733929e-142,0.000000000000000000e+00
1.792478561401367188e-02,3.624017700465387293e-03,-5.722133211261137831e-04,7.676607882827418683e-01,0.000000000000000000e+00,3.624017700465387293e-03,-5.722133211261137831e-04,7.676607882827418683e-01,0.000000000000000000e+00,1.788498401641845703e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,1.122344322344321910e+00,-2.930402930402919992e-03,1.569745237349952718e-141,0.000000000000000000e+00
2.252388000488281250e-02,5.149919890135024048e-03,-5.722133211261137831e-04,3.317831859896379632e-01,0.000000000000000000e+00,5.149919890135024048e-03,-5.722133211261137831e-04,3.317831859896379632e-01,0.000000000000000000e+00,1.809252977371215820e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,1.726007326007325204e+00,8.791208791208759976e-03,3.453573125184203870e-141,0.000000000000000000e+00
2.565145492553710938e-02,6.294346532387251614e-03,-9.536888685435229718e-04,3.659150208343563970e-01,-1.219716736114521277e-01,6.294346532387251614e-03,-9.536888685435229718e-04,3.659150208343563970e-01,-1.219716736114521277e-01,1.805669546127319336e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,1.643956043956043445e+00,8.791208791208759976e-03,7.590845397337837026e-141,0.000000000000000000e+00
2.884435653686523438e-02,8.201724269474297557e-03,-3.242542153047978104e-03,5.973806804192910436e-01,-7.168568165031492523e-01,8.201724269474297557e-03,-3.242542153047978104e-03,5.973806804192910436e-01,-7.168568165031492523e-01,1.772877931594848633e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,1.737728937728936884e+00,1.611721611721605996e-01,1.666838966151762999e-140,0.000000000000000000e+00
3.326988220214843750e-02,1.010910200656134350e-02,-7.057297627222069991e-03,4.309946165378270022e-01,-8.619892330756540044e-01,1.010910200656134350e-02,-7.057297627222069991e-03,4.309946165378270022e-01,-8.619892330756540044e-01,1.692935943603515625e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,1.819780219780220420e+00,1.025641025641021997e-01,3.656614279797231759e-140,0.000000000000000000e+00
3.722500801086425781e-02,1.316090638590061701e-02,-1.125352864881357107e-02,7.716074094568829977e-01,-1.060960188003214233e+00,1.316090638590061701e-02,-1.125352864881357107e-02,7.716074094568829977e-01,-1.060960188003214233e+00,1.672811508178710938e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,1.638095238095237605e+00,1.494505494505489196e-01,8.013950682423767314e-140,0.000000000000000000e+00
4.124617576599121094e-02,1.659418631265729971e-02,-1.621271076523989052e-02,8.538017152801649079e-01,-1.233269144293571484e+00,1.659418631265729971e-02,-1.621271076523989052e-02,8.538017152801649079e-01,-1.233269144293571484e+00,1.641534805297851562e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,1.749450549450548564e+00,1.377289377289372396e-01,1.754672978595675879e-139,0.000000000000000000e+00
