time,pos_meas1,pos_meas2,vel_meas1,vel_meas2,pos_filt1,pos_filt2,vel_filt1,vel_filt2,tau_con1,tau_con2,tau_fric1,tau_fric2,tau_meas1,tau_meas2,tau_pert1,tau_pert2
0.000000000000000000e+00,1.907377737087045944e-04,1.907377737087045944e-04,5.494505494507251342e-03,-5.494505494507251342e-03,1.907377737087045944e-04,1.907377737087045944e-04,5.494505494507251342e-03,-5.494505494507251342e-03,5.999992385034424558e+00,4.708951504263833576e-01,0.000000000000000000e+00,0.000000000000000000e+00,2.930402930402919992e-03,2.930402930402919992e-03,0.000000000000000000e+00,-1.303831032792496328e-120
3.030538558959960938e-02,1.907377737087045944e-04,1.907377737087045944e-04,0.000000000000000000e+00,0.000000000000000000e+00,1.907377737087045944e-04,1.907377737087045944e-04,0.000000000000000000e+00,0.000000000000000000e+00,5.999992447098091652e+00,4.702731961704950669e-01,0.000000000000000000e+00,0.000000000000000000e+00,8.791208791208759976e-03,-2.930402930402919992e-03,0.000000000000000000e+00,-1.687779233433315426e-116
6.060886383056640625e-02,5.016403448538930832e-02,-5.703059433890267371e-02,1.649094414651136820e+00,-1.888276047310462058e+00,5.016403448538930832e-02,-5.703059433890267371e-02,1.649094414651136820e+00,-1.888276047310462058e+00,5.998515006165082930e+00,4.999998440434276215e-01,0.000000000000000000e+00,0.000000000000000000e+00,5.517948717948717885e+00,7.003663003662996545e-01,0.000000000000000000e+00,-1.851240331950769906e-112
9.091210365295410156e-02,1.653696498054468833e-01,-2.161058976119623054e-01,3.801759019672376727e+00,-5.249448712593977717e+00,1.653696498054468833e-01,-2.161058976119623054e-01,3.801759019672376727e+00,-5.249448712593977717e+00,2.083480996935476171e+00,5.000000000000000000e-01,0.000000000000000000e+00,0.000000000000000000e+00,6.016117216117216060e+00,7.589743589743598307e-01,0.000000000000000000e+00,-1.720532208029851087e-108
1.212155818939208984e-01,3.538185702296487989e-01,-4.682612344548715555e-01,6.218722449142513931e+00,-8.321003115148162266e+00,3.538185702296487989e-01,-4.682612344548715555e-01,6.218722449142513931e+00,-8.321003115148162266e+00,-7.349956617598805142e-01,4.999999978795938160e-01,0.000000000000000000e+00,0.000000000000000000e+00,5.752380952380952372e+00,6.241758241758237347e-01,0.000000000000000000e+00,-1.354926227261316371e-104
1.515190601348876953e-01,5.697337300679023997e-01,-7.387273975738146703e-01,7.125094951851476566e+00,-8.925251450287451149e+00,5.697337300679023997e-01,-7.387273975738146703e-01,7.125094951851476566e+00,-8.925251450287451149e+00,-2.074409046813890378e-01,4.999982888072492804e-01,0.000000000000000000e+00,0.000000000000000000e+00,2.036630036630036500e+00,4.424908424908426952e-01,0.000000000000000000e+00,-9.041101212225476183e-101
1.818222999572753906e-01,7.532234683756779958e-01,-9.405279621576259075e-01,6.055119498219969643e+00,-6.659372587439420954e+00,7.532234683756779958e-01,-9.405279621576259075e-01,6.055119498219969643e+00,-6.659372587439420954e+00,2.766834115874371669e+00,4.999999999999999445e-01,0.000000000000000000e+00,0.000000000000000000e+00,-6.886446886446879745e-01,2.139194139194131594e-01,0.000000000000000000e+00,-5.111870599499501347e-97
2.121255397796630859e-01,8.997100785839631243e-01,-1.056878004119935710e+00,4.834024713755605163e+00,-3.839524837748592656e+00,8.997100785839631243e-01,-1.056878004119935710e+00,4.834024713755605163e+00,-3.839524837748592656e+00,5.929591002377919473e+00,5.000000000000000000e-01,0.000000000000000000e+00,0.000000000000000000e+00,-1.201465201465197197e-01,2.842490842490850156e-01,0.000000000000000000e+00,-2.449013681526280641e-93
2.424290180206298828e-01,1.029030289158464839e+00,-1.119439993896390817e+00,4.267503866921644295e+00,-2.064515145059438783e+00,1.029030289158464839e+00,-1.119439993896390817e+00,4.267503866921644295e+00,-2.064515145059438783e+00,5.994159251588738968e+00,5.000000000000000000e-01,0.000000000000000000e+00,0.000000000000000000e+00,2.786813186813187571e+00,4.659340659340660551e-01,0.000000000000000000e+00,-9.941579963429479070e-90
2.727332115173339844e-01,1.170557717250323648e+00,-1.186579690241854834e+00,4.670225858584601042e+00,-2.215524935608867541e+00,1.170557717250323648e+00,-1.186579690241854834e+00,4.670225858584601042e+00,-2.215524935608867541e+00,5.985842252799605134e+00,5.000000000000000000e-01,0.000000000000000000e+00,0.000000000000000000e+00,5.629304029304029733e+00,5.421245421245419749e-01,0.000000000000000000e+00,-3.419577475709273984e-86
