time,pos1,pos2,vel1,vel2,tau1,tau2
0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,-3.217380000000000240e-01,0.000000000000000000e+00
1.000000000000000021e-03,-4.372380000000000140e-06,7.122040000000000000e-06,-8.744699999999999349e-03,1.424399999999999972e-02,-3.223719999999999919e-01,0.000000000000000000e+00
2.000000000000000042e-03,-1.749780000000000042e-05,2.850160000000000169e-05,-1.750590000000000132e-02,2.851470000000000046e-02,-3.229929999999999746e-01,0.000000000000000000e+00
3.000000000000000062e-03,-3.939229999999999891e-05,6.416440000000000522e-05,-2.628269999999999912e-02,4.281039999999999845e-02,-3.236020000000000008e-01,0.000000000000000000e+00
4.000000000000000083e-03,-7.007080000000000003e-05,1.141350000000000041e-04,-3.507400000000000101e-02,5.712919999999999804e-02,-3.241990000000000149e-01,0.000000000000000000e+00
5.000000000000000104e-03,-1.095470000000000000e-04,1.784339999999999928e-04,-4.387869999999999965e-02,7.146929999999999950e-02,-3.247829999999999884e-01,0.000000000000000000e+00
6.000000000000000125e-03,-1.578349999999999957e-04,2.570839999999999801e-04,-5.269589999999999691e-02,8.582879999999999676e-02,-3.253550000000000053e-01,0.000000000000000000e+00
7.000000000000000146e-03,-2.149460000000000118e-04,3.501019999999999762e-04,-6.152450000000000280e-02,1.002060000000000034e-01,-3.259139999999999815e-01,0.000000000000000000e+00
8.000000000000000167e-03,-2.808900000000000025e-04,4.575049999999999777e-04,-7.036349999999999549e-02,1.145990000000000064e-01,-3.264599999999999724e-01,0.000000000000000000e+00
8.999999999999999320e-03,-3.556780000000000054e-04,5.793079999999999497e-04,-7.921190000000000175e-02,1.290050000000000086e-01,-3.269940000000000069e-01,0.000000000000000000e+00
1.000000000000000021e-02,-4.393190000000000268e-04,7.155240000000000428e-04,-8.806849999999999401e-02,1.434239999999999959e-01,-3.275159999999999738e-01,0.000000000000000000e+00
1.099999999999999936e-02,-5.318200000000000141e-04,8.661639999999999964e-04,-9.693250000000000477e-02,1.578529999999999933e-01,-3.280250000000000110e-01,0.000000000000000000e+00
1.200000000000000025e-02,-6.331880000000000234e-04,1.031240000000000108e-03,-1.058029999999999943e-01,1.722899999999999987e-01,-3.285210000000000075e-01,0.000000000000000000e+00
1.299999999999999940e-02,-7.434300000000000023e-04,1.210750000000000021e-03,-1.146780000000000022e-01,1.867340000000000111e-01,-3.290040000000000187e-01,0.000000000000000000e+00
1.400000000000000029e-02,-8.625479999999999823e-04,1.404709999999999986e-03,-1.235580000000000012e-01,2.011819999999999997e-01,-3.294739999999999891e-01,0.000000000000000000e+00
1.499999999999999944e-02,-9.905479999999999494e-04,1.613120000000000005e-03,-1.324400000000000022e-01,2.156329999999999913e-01,-3.299320000000000030e-01,0.000000000000000000e+00
1.600000000000000033e-02,-1.127430000000000012e-03,1.835980000000000077e-03,-1.413250000000000062e-01,2.300840000000000107e-01,-3.303769999999999762e-01,0.000000000000000000e+00
