time,pos_meas1,pos_meas2,vel_meas1,vel_meas2,tau_con1,tau_con2
2.000000000000000042e-03,1.627110575955501904e-04,-3.893210192241071507e-04,1.627061605058041094e-01,-3.893058538596091411e-01,5.000000000000000000e+00,0.000000000000000000e+00
4.000000000000000083e-03,6.507853571482938738e-04,-1.557101745126233906e-03,3.253533389820356669e-01,-7.784290264459419184e-01,5.000000000000000000e+00,0.000000000000000000e+00
6.000000000000000125e-03,1.464044967858163472e-03,-3.502790970010077453e-03,4.878812410472977978e-01,-1.167182619840140934e+00,5.000000000000000000e+00,0.000000000000000000e+00
8.000000000000000167e-03,2.602188971280540875e-03,-6.225455981865942248e-03,6.502269578941823891e-01,-1.555371334755758728e+00,5.000000000000000000e+00,0.000000000000000000e+00
1.000000000000000021e-02,4.064786947127662677e-03,-9.723761628859416833e-03,8.123236854650086602e-01,-1.942787351803029638e+00,5.000000000000000000e+00,0.000000000000000000e+00
1.200000000000000025e-02,5.851269928791261871e-03,-1.399594124372436493e-02,9.740994771995160617e-01,-2.329206316955540590e+00,5.000000000000000000e+00,0.000000000000000000e+00
1.400000000000000029e-02,7.960918909650754882e-03,-1.903975967960151380e-02,1.135476044651664518e+00,-2.714383475515597777e+00,5.000000000000000000e+00,0.000000000000000000e+00
1.600000000000000033e-02,1.039285101226060902e-02,-2.485246880495310673e-02,1.296367622790180141e+00,-3.098050006625314268e+00,5.000000000000000000e+00,0.000000000000000000e+00
1.800000000000000211e-02,1.314600346903002821e-02,-3.143075591817813541e-02,1.456679919748613994e+00,-3.479909619458439352e+00,5.000000000000000000e+00,0.000000000000000000e+00
2.000000000000000389e-02,1.621911560574161235e-02,-3.877068567468591048e-02,1.616309174024691764e+00,-3.859635482190429734e+00,5.000000000000000000e+00,0.000000000000000000e+00
2.200000000000000566e-02,1.961070906857933713e-02,-4.686763627162485180e-02,1.775141345447628582e+00,-4.236867565073326958e+00,5.000000000000000000e+00,0.000000000000000000e+00
2.400000000000000744e-02,2.331906659117873384e-02,-5.571623080800119920e-02,1.933051469385933752e+00,-4.611210488669957641e+00,5.000000000000000000e+00,0.000000000000000000e+00
2.600000000000000921e-02,2.714501611845314757e-02,-6.483895725403673871e-02,1.892775478515199561e+00,-4.511136589366298466e+00,-1.077217340469360352e+00,0.000000000000000000e+00
2.800000000000001099e-02,3.108670646367868787e-02,-7.423001827037295497e-02,2.048725410528150270e+00,-4.879328737782728354e+00,5.000000000000000000e+00,0.000000000000000000e+00
3.000000000000001277e-02,3.514231473241511555e-02,-8.388374103657021685e-02,2.006755545071652769e+00,-4.774000363309487405e+00,-1.077217340469360352e+00,0.000000000000000000e+00
3.200000000000001454e-02,3.930978854272330208e-02,-9.379368313296054804e-02,2.160502922936044179e+00,-5.135262927003194200e+00,5.000000000000000000e+00,0.000000000000000000e+00
3.400000000000001632e-02,4.358714721671251568e-02,-1.039536758745324418e-01,2.116725101879939785e+00,-5.024326247391146971e+00,-1.077217340469360352e+00,0.000000000000000000e+00
