time,pos_meas1,pos_meas2,vel_meas1,vel_meas2,tau_con1,tau_con2
2.000000000000000042e-03,-1.311858698165581881e-05,3.138902643863614552e-05,-1.311819289929341131e-02,3.138780612725500241e-02,-4.031252370580787336e-01,0.000000000000000000e+00
4.000000000000000083e-03,-5.263364046710383341e-05,1.259339188244359173e-04,-2.639567357807139775e-02,6.315341061618184870e-02,-4.081655000076701567e-01,0.000000000000000000e+00
6.000000000000000125e-03,-1.188566052928009364e-04,2.843698500624721555e-04,-3.982530185687260110e-02,9.527636043669296395e-02,-4.131334312457463631e-01,0.000000000000000000e+00
8.000000000000000167e-03,-2.120846125325255940e-04,5.073909681540452474e-04,-5.339990450483111245e-02,1.277360848538419691e-01,-4.180297264303867721e-01,0.000000000000000000e+00
1.000000000000000021e-02,-3.326004211032098181e-04,7.956501809901661733e-04,-6.711228294274225459e-02,1.605119156132342739e-01,-4.228552536946560969e-01,0.000000000000000000e+00
1.200000000000000025e-02,-4.806723732033861855e-04,1.149758977722376441e-03,-8.095521937316565997e-02,1.935831033346326890e-01,-4.276110063722600163e-01,0.000000000000000000e+00
1.400000000000000029e-02,-6.565543609176933580e-04,1.570287280276766277e-03,-9.492148181708844057e-02,2.269288312637108007e-01,-4.322980703377947709e-01,0.000000000000000000e+00
1.600000000000000033e-02,-8.604858021142990521e-04,2.057763320481277147e-03,-1.090038283710106359e-01,2.605282271361272217e-01,-4.369176008455631921e-01,0.000000000000000000e+00
1.800000000000000211e-02,-1.092691624281846505e-03,2.612673539526863542e-03,-1.231950108903168695e-01,2.943603736501766988e-01,-4.414708055275977094e-01,0.000000000000000000e+00
2.000000000000000389e-02,-1.353382255294027867e-03,3.235462507307986998e-03,-1.374877782345496346e-01,3.284043178765991833e-01,-4.459589313750929596e-01,0.000000000000000000e+00
2.200000000000000566e-02,-1.642753620315590829e-03,3.926532859736492007e-03,-1.518748791646588325e-01,3.626390798255091918e-01,-4.503832542894892210e-01,0.000000000000000000e+00
2.400000000000000744e-02,-1.960987144214368719e-03,4.686245252492887182e-03,-1.663490649529249243e-01,3.970436603204123283e-01,-4.547450702884350271e-01,0.000000000000000000e+00
2.600000000000000921e-02,-2.308249758946513772e-03,5.514918329934246320e-03,-1.809030917474398759e-01,4.315970482845122302e-01,-4.590456877784674927e-01,0.000000000000000000e+00
2.800000000000001099e-02,-2.684693915453976228e-03,6.412828708060075607e-03,-1.955297227211094391e-01,4.662782275161994061e-01,-4.632864205198421459e-01,0.000000000000000000e+00
3.000000000000001277e-02,-3.090457599665766275e-03,7.380210970573687287e-03,-2.102217300277065826e-01,5.010661830130017647e-01,-4.674685810485066373e-01,0.000000000000000000e+00
3.200000000000001454e-02,-3.525664352235085685e-03,8.417257677184524639e-03,-2.249718965829819450e-01,5.359399068925906340e-01,-4.715934744111949239e-01,0.000000000000000000e+00
3.400000000000001632e-02,-3.990423291677786845e-03,9.524119383387855478e-03,-2.397730176861877782e-01,5.708784039532024401e-01,-4.756623921288282708e-01,0.000000000000000000e+00
3.600000000000001810e-02,-4.484829140606886450e-03,1.070090467103962210e-02,-2.546179024959235315e-01,6.058606969124424868e-01,-4.796766063417891024e-01,0.000000000000000000e+00
3.800000000000001987e-02,-5.008962254784992199e-03,1.194768018912053566e-02,-2.694993753735168140e-01,6.408658313618159630e-01,-4.836373641153852154e-01,0.000000000000000000e+00
4.000000000000002165e-02,-5.562888654742721185e-03,1.326447070415774296e-02,-2.844102771069291213e-01,6.758728804737985651e-01,-4.875458818997134847e-01,0.000000000000000000e+00
4.200000000000002343e-02,-6.146660059737211676e-03,1.465125915984608583e-02,-2.993434660282277004e-01,7.108609494983602062e-01,-4.914033401482003072e-01,0.000000000000000000e+00
4.400000000000002520e-02,-6.760313923851143589e-03,1.610798674548531359e-02,-3.142918190378749532e-01,7.458091800862961529e-01,-4.952108781054287423e-01,0.000000000000000000e+00
4.600000000000002698e-02,-7.403873474059482693e-03,1.763455297292491897e-02,-3.292482325493729656e-01,7.806967544773171230e-01,-4.989695887787510276e-01,0.000000000000000000e+00
4.800000000000002875e-02,-8.077347750118547484e-03,1.923081576178481758e-02,-3.442056233681143329e-01,8.155028995914715972e-01,-5.026805141105239461e-01,0.000000000000000000e+00
5.000000000000003053e-02,-8.780731646160028214e-03,2.089659153279786047e-02,-3.591569295185962907e-01,8.502068910630521392e-01,-5.063446403691239661e-01,0.000000000000000000e+00
5.200000000000003231e-02,-9.514005953901182727e-03,2.263165530919895516e-02,-3.740951110344348240e-01,8.847880572566145796e-01,-5.099628937776102822e-01,0.000000000000000000e+00
5.400000000000003408e-02,-1.027713740741155631e-02,2.443574082616522050e-02,-3.890131507258542953e-01,9.192257833050895277e-01,-5.135361363992068107e-01,0.000000000000000000e+00
5.600000000000003586e-02,-1.107007872940612633e-02,2.630854064839178302e-02,-4.039040549395204738e-01,9.534995152101664040e-01,-5.170651622988291507e-01,0.000000000000000000e+00
5.800000000000003764e-02,-1.189276867906464974e-02,2.824970629596825281e-02,-4.187608543257213545e-01,9.875887640451701532e-01,-5.205506939997904814e-01,0.000000000000000000e+00
6.000000000000003941e-02,-1.274513210140710250e-02,3.025884837880123829e-02,-4.335766046279847519e-01,1.021473110300526788e+00,-5.239933792546478397e-01,0.000000000000000000e+00
6.200000000000004119e-02,-1.362707997828528812e-02,3.233553673990820221e-02,-4.483443875102439136e-01,1.055132208411613259e+00,-5.273937881488718338e-01,0.000000000000000000e+00
6.400000000000004297e-02,-1.453850948108092490e-02,3.447930060798713031e-02,-4.630573114366315357e-01,1.088545791508316540e+00,-5.307524105557829275e-01,0.000000000000000000e+00
6.600000000000004474e-02,-1.547930402523055304e-02,3.668962875974440818e-02,-4.777085126188868602e-01,1.121693676424980302e+00,-5.340696539608283944e-01,0.000000000000000000e+00
