time,pos_meas1,pos_meas2,vel_meas1,vel_meas2,tau_con1,tau_con2
2.000000000000000042e-03,-1.257483144481031788e-05,3.008797496528317782e-05,-1.257445369724431543e-02,3.008680523610881771e-02,-3.864159999999999817e-01,0.000000000000000000e+00
4.000000000000000083e-03,-5.043290037460209925e-05,1.206683152123535238e-04,-2.528247800520248487e-02,6.049001351838141638e-02,-3.906599446749849380e-01,0.000000000000000000e+00
6.000000000000000125e-03,-1.138672484862034281e-04,2.724325806668618935e-04,-3.814996451380879561e-02,9.126835123662606353e-02,-3.958403212727341081e-01,0.000000000000000000e+00
8.000000000000000167e-03,-2.031046376974052019e-04,4.859072538629836892e-04,-5.108474378553276574e-02,1.221980206378929512e-01,-3.983308730912493156e-01,0.000000000000000000e+00
1.000000000000000021e-02,-3.183918699340330212e-04,7.616602211406742901e-04,-6.419902458752549390e-02,1.535442212255752337e-01,-4.044129710810828726e-01,0.000000000000000000e+00
1.200000000000000025e-02,-4.600756924691286982e-04,1.100491900730919421e-03,-7.748054041906460299e-02,1.852742758930021050e-01,-4.102634966172608033e-01,0.000000000000000000e+00
1.400000000000000029e-02,-6.284474422417086082e-04,1.503063433052653428e-03,-9.088614903510314202e-02,2.172815888991878608e-01,-4.149355452651739551e-01,0.000000000000000000e+00
1.600000000000000033e-02,-8.237631431929768244e-04,1.969944693768365188e-03,-1.044236806480899893e-01,2.495814942611162268e-01,-4.199969677535125845e-01,0.000000000000000000e+00
1.800000000000000211e-02,-1.046276387622688351e-03,2.501692904031051212e-03,-1.180828733886055137e-01,2.821460034488041946e-01,-4.248933474105794916e-01,0.000000000000000000e+00
2.000000000000000389e-02,-1.296553882600111254e-03,3.099607575828114674e-03,-1.321870940759648227e-01,3.157453654186901382e-01,-4.398787110961996372e-01,0.000000000000000000e+00
2.200000000000000566e-02,-1.574909568221837409e-03,3.764376375484099809e-03,-1.461602171537606520e-01,3.489975112024949477e-01,-4.373163513372072542e-01,0.000000000000000000e+00
2.400000000000000744e-02,-1.881242781571172348e-03,4.495687817938156389e-03,-1.601637770242707315e-01,3.822853950750868535e-01,-4.398735306722297844e-01,0.000000000000000000e+00
2.600000000000000921e-02,-2.215677888920651595e-03,5.293761743899710187e-03,-1.742612616173173645e-01,4.157573673404978409e-01,-4.445377719443762699e-01,0.000000000000000000e+00
