time,pos_meas1,pos_meas2,vel_meas1,vel_meas2,tau_con1,tau_con2
2.000000000000000042e-03,-1.253287066226520981e-05,2.998757481438010789e-05,-1.253249417522841677e-02,2.998640898855070569e-02,-3.851265737502095887e-01,0.000000000000000000e+00
4.000000000000000083e-03,-5.029911839830010305e-05,1.203482238542683404e-04,-2.523261909187203902e-02,6.037072710033222767e-02,-3.904167296659358799e-01,0.000000000000000000e+00
6.000000000000000125e-03,-1.136274034816681897e-04,2.718587554097151257e-04,-3.809376358574411564e-02,9.113391362363505721e-02,-3.956444124356362502e-01,0.000000000000000000e+00
8.000000000000000167e-03,-2.028331028628802424e-04,4.852577093465995856e-04,-5.110925583240754494e-02,1.222567419283488582e-01,-4.008095628289498613e-01,0.000000000000000000e+00
1.000000000000000021e-02,-3.182181923048126937e-04,7.612449952192161789e-04,-6.427236679934164587e-02,1.537198094032787843e-01,-4.059121665993909445e-01,0.000000000000000000e+00
1.200000000000000025e-02,-4.600711354100640686e-04,1.100481550207555457e-03,-7.757631368629515356e-02,1.855035473452830708e-01,-4.109522548414966114e-01,0.000000000000000000e+00
1.400000000000000029e-02,-6.286667795132592270e-04,1.503589016777280574e-03,-9.101426335054309258e-02,2.175882307948416861e-01,-4.159299041297511157e-01,0.000000000000000000e+00
1.600000000000000033e-02,-8.242662584055815856e-04,1.971149439951978659e-03,-1.045793357145945596e-01,2.499539883150093678e-01,-4.208452364500592791e-01,0.000000000000000000e+00
1.800000000000000211e-02,-1.047116901854688647e-03,2.503704984083390123e-03,-1.182646071546767097e-01,2.825808117129088304e-01,-4.256984189338530733e-01,0.000000000000000000e+00
2.000000000000000389e-02,-1.297452151880548656e-03,3.101757669005694284e-03,-1.320631138690449569e-01,3.154485657049729830e-01,-4.304896634042201242e-01,0.000000000000000000e+00
2.200000000000000566e-02,-1.575491485746512068e-03,3.765769125464275661e-03,-1.459678552258406037e-01,3.485369975290460443e-01,-4.352192257428481592e-01,0.000000000000000000e+00
2.400000000000000744e-02,-1.881440345624992667e-03,4.496160369717364276e-03,-1.599717970908310083e-01,3.818257465081934532e-01,-4.398874050859565288e-01,0.000000000000000000e+00
2.600000000000000921e-02,-2.215490074898371874e-03,5.293311597220244809e-03,-1.740678751359248100e-01,4.152943535726471014e-01,-4.444945428568488066e-01,0.000000000000000000e+00
2.800000000000001099e-02,-2.577817861058023536e-03,6.157561995316010797e-03,-1.882489981298537396e-01,4.489222707477211194e-01,-4.490410216422118239e-01,0.000000000000000000e+00
3.000000000000001277e-02,-2.968586685167592856e-03,7.089209574873770944e-03,-2.025080512128520083e-01,4.826888706167701271e-01,-4.535272639188055455e-01,0.000000000000000000e+00
3.200000000000001454e-02,-3.387945277860711715e-03,8.088511020834444898e-03,-2.168378991575446724e-01,5.165734557693240081e-01,-4.579537306367736926e-01,0.000000000000000000e+00
3.400000000000001632e-02,-3.836028081848077368e-03,9.155681561645454686e-03,-2.312313896185762274e-01,5.505552682454206703e-01,-4.623209196654180508e-01,0.000000000000000000e+00
3.600000000000001810e-02,-4.312955220914162224e-03,1.029089485758841703e-02,-2.456813563737705597e-01,5.846134989878645216e-01,-4.666293641069435005e-01,0.000000000000000000e+00
3.800000000000001987e-02,-4.818832475389603007e-03,1.149428290802791998e-02,-2.601806225598132238e-01,6.187272973146688004e-01,-4.708796304833863244e-01,0.000000000000000000e+00
4.000000000000002165e-02,-5.353751264091455644e-03,1.276593597763438920e-02,-2.747220039055858209e-01,6.528757804242885099e-01,-4.750723168016753872e-01,0.000000000000000000e+00
4.200000000000002343e-02,-5.917788632729840959e-03,1.410590254165944649e-02,-2.892983119663632974e-01,6.870380429464223448e-01,-4.792080505015958170e-01,0.000000000000000000e+00
4.400000000000002520e-02,-6.511007248785970203e-03,1.551418925036773810e-02,-3.039023573621045804e-01,7.211931665511522871e-01,-4.832874862912189817e-01,0.000000000000000000e+00
4.600000000000002698e-02,-7.133455402872959303e-03,1.699076091275458777e-02,-3.185269530230306900e-01,7.553202296290068007e-01,-4.873113038742655778e-01,0.000000000000000000e+00
4.800000000000002875e-02,-7.785167016597154162e-03,1.853554049970369474e-02,-3.331649174455886264e-01,7.893983170541732930e-01,-4.912802055737685580e-01,0.000000000000000000e+00
5.000000000000003053e-02,-8.466161656943733613e-03,2.014840916676300178e-02,-3.478090779617499795e-01,8.234065300425545963e-01,-4.951949138563541131e-01,0.000000000000000000e+00
5.200000000000003231e-02,-9.176444557216069040e-03,2.182920629673963317e-02,-3.624522740243860119e-01,8.573239961156653433e-01,-4.990561687614387676e-01,0.000000000000000000e+00
