time,pos_meas1,pos_meas2,vel_meas1,vel_meas2,tau_con1,tau_con2
2.000000000000000042e-03,1.627110575955501904e-04,-3.893210192241071507e-04,1.627061605058041094e-01,-3.893058538596091411e-01,5.000000000000000000e+00,0.000000000000000000e+00
4.000000000000000083e-03,6.385066890000679930e-04,-1.527722415654304616e-03,3.130750539895805207e-01,-7.490508852006954044e-01,4.622684478759765625e+00,0.000000000000000000e+00
6.000000000000000125e-03,1.422815521988149120e-03,-3.404143995106167705e-03,4.712096729054330302e-01,-1.127295984981717458e+00,4.864850997924804688e+00,0.000000000000000000e+00
8.000000000000000167e-03,2.522874281076303328e-03,-6.035696394640367377e-03,6.288145747614644065e-01,-1.504149378619914046e+00,4.853968620300292969e+00,0.000000000000000000e+00
1.000000000000000021e-02,3.939169375017460839e-03,-9.423249299991456884e-03,7.874348668743538227e-01,-1.883261802490077574e+00,4.892547607421875000e+00,0.000000000000000000e+00
1.200000000000000025e-02,5.671966979395507910e-03,-1.356704897726704676e-02,9.453050502562952984e-01,-2.260358590459994321e+00,4.879009246826171875e+00,0.000000000000000000e+00
1.400000000000000029e-02,7.722997631701620375e-03,-1.847073960896159980e-02,1.105654600870353610e+00,-2.643111088209578519e+00,4.967050075531005859e+00,0.000000000000000000e+00
1.600000000000000033e-02,1.009429900095389944e-02,-2.413858259730049249e-02,1.265561134834956247e+00,-3.024465045746866920e+00,4.967855930328369141e+00,0.000000000000000000e+00
1.800000000000000211e-02,1.278456883427969877e-02,-3.056671745161011061e-02,1.424607021586956845e+00,-3.403352504878379037e+00,4.958650588989257812e+00,0.000000000000000000e+00
2.000000000000000389e-02,1.579132944859424487e-02,-3.774832708334709130e-02,1.582034438174824809e+00,-3.777884741767948640e+00,4.929231643676757812e+00,0.000000000000000000e+00
2.200000000000000566e-02,1.911172394912168809e-02,-4.567552797026513955e-02,1.738221796984239287e+00,-4.148883393870992364e+00,4.914816856384277344e+00,0.000000000000000000e+00
2.400000000000000744e-02,2.274585045872171488e-02,-5.434732658352807444e-02,1.895744924205636117e+00,-4.522414297479307344e+00,4.983414649963378906e+00,0.000000000000000000e+00
2.600000000000000921e-02,2.669386565180599177e-02,-6.376267076329004968e-02,2.052087381812354838e+00,-4.892355682916189608e+00,4.978686332702636719e+00,0.000000000000000000e+00
2.800000000000001099e-02,3.095291415060606385e-02,-7.391308940675297978e-02,2.206753405571691307e+00,-5.257409854579181641e+00,4.963106155395507812e+00,0.000000000000000000e+00
3.000000000000001277e-02,3.551971042896378411e-02,-8.478884856008564452e-02,2.359808494970515813e+00,-5.617611250538327994e+00,4.954297542572021484e+00,0.000000000000000000e+00
3.200000000000001454e-02,4.039169533353038216e-02,-9.638169388416525929e-02,2.511913171078654639e+00,-5.974403874579120810e+00,4.971029758453369141e+00,0.000000000000000000e+00
3.400000000000001632e-02,4.556386711308550025e-02,-1.086772673891738539e-01,2.659966699092551234e+00,-6.320247751904550348e+00,4.897196292877197266e+00,0.000000000000000000e+00
3.600000000000001810e-02,5.102965021201343737e-02,-1.216571727388369301e-01,2.805493874447130054e+00,-6.658637524874889912e+00,4.876007080078125000e+00,0.000000000000000000e+00
