time,pos_meas1,pos_meas2,vel_meas1,vel_meas2,tau_con1,tau_con2
0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,-2.676285266876220703e+00,0.000000000000000000e+00
2.000000000000000042e-03,-1.454787177309464720e-04,2.369653866920344099e-04,-1.454749261058448651e-01,2.369582684311432319e-01,-2.388556480407714844e+00,0.000000000000000000e+00
4.000000000000000083e-03,-5.662288605774854671e-04,9.222998118207895342e-04,-2.752642290310785000e-01,4.483555196804466236e-01,-2.419376134872436523e+00,0.000000000000000000e+00
6.000000000000000125e-03,-1.248153332182502535e-03,2.033008073886908955e-03,-4.066423629931347206e-01,6.623191317336357686e-01,-2.447736740112304688e+00,0.000000000000000000e+00
8.000000000000000167e-03,-2.194254416609421957e-03,3.573926573823419175e-03,-5.394337670000560747e-01,8.785523972324463804e-01,-2.449205517768859863e+00,0.000000000000000000e+00
1.000000000000000021e-02,-3.405853995174848263e-03,5.547132500813692357e-03,-6.721336047361375909e-01,1.094592806045689537e+00,-2.378263950347900391e+00,0.000000000000000000e+00
1.200000000000000025e-02,-4.878789080522728805e-03,7.945745692293247620e-03,-8.007619758977577717e-01,1.303945759468838839e+00,-2.307932138442993164e+00,0.000000000000000000e+00
1.400000000000000029e-02,-6.604906250940793984e-03,1.075636198232144541e-02,-9.253084319686376569e-01,1.506582005643263722e+00,-2.238480091094970703e+00,0.000000000000000000e+00
1.600000000000000033e-02,-8.576046129344594426e-03,1.396554267888362733e-02,-1.045777459567689194e+00,1.702496254910657925e+00,-2.166608333587646484e+00,0.000000000000000000e+00
1.800000000000000211e-02,-1.078387923349931853e-02,1.755954645778585663e-02,-1.161994475701304097e+00,1.891391182388107550e+00,-2.094844579696655273e+00,0.000000000000000000e+00
2.000000000000000389e-02,-1.321986466541364043e-02,2.152426138919319443e-02,-1.273922660662087702e+00,2.073193534262964821e+00,-2.024939775466918945e+00,0.000000000000000000e+00
2.200000000000000566e-02,-1.587548348589161787e-02,2.584558445524414924e-02,-1.381620803238710726e+00,2.247985499329687276e+00,-1.956517696380615234e+00,0.000000000000000000e+00
2.400000000000000744e-02,-1.874231439307437463e-02,3.050954429706763393e-02,-1.485127766710381936e+00,2.415816581608588809e+00,-1.885940909385681152e+00,0.000000000000000000e+00
2.600000000000000921e-02,-2.181181682538600036e-02,3.550194760163915414e-02,-1.584285464771370888e+00,2.576415404388539887e+00,-1.817225217819213867e+00,0.000000000000000000e+00
2.800000000000001099e-02,-2.507535312215341747e-02,4.080841506518290140e-02,-1.679154904379167590e+00,2.729867396835398363e+00,-1.757605791091918945e+00,0.000000000000000000e+00
3.000000000000001277e-02,-2.852480148147408523e-02,4.641537955443087587e-02,-1.770190912914819670e+00,2.876899249242737877e+00,-1.713685512542724609e+00,0.000000000000000000e+00
3.200000000000001454e-02,-3.215330871986135652e-02,5.231131154388836413e-02,-1.858207209476816724e+00,3.018821727465930138e+00,-1.677289724349975586e+00,0.000000000000000000e+00
3.400000000000001632e-02,-3.595520522756982806e-02,5.848657989106577360e-02,-1.943573647071444643e+00,3.156222455547637917e+00,-1.645274877548217773e+00,0.000000000000000000e+00
3.600000000000001810e-02,-3.992539060277491836e-02,6.493245080991040530e-02,-2.026489586941430332e+00,3.289411184557725853e+00,-1.612443208694458008e+00,0.000000000000000000e+00
3.800000000000001987e-02,-4.405888153982173705e-02,7.164035144714051007e-02,-2.106872815847690372e+00,3.418239213667678023e+00,-1.580332517623901367e+00,0.000000000000000000e+00
4.000000000000002165e-02,-4.835061443907015533e-02,7.860154853897054206e-02,-2.184725267986129538e+00,3.542694864869439186e+00,-1.545495986938476562e+00,0.000000000000000000e+00
4.200000000000002343e-02,-5.279534371182809105e-02,8.580698323760789503e-02,-2.259863090274644382e+00,3.662464388356035716e+00,-1.510985612869262695e+00,0.000000000000000000e+00
4.400000000000002520e-02,-5.738762273782607726e-02,9.324724076781047699e-02,-2.332269111110540027e+00,3.777505618735232495e+00,-1.484036564826965332e+00,0.000000000000000000e+00
4.600000000000002698e-02,-6.212236309579782789e-02,1.009134606023667641e-01,-2.402318610433971990e+00,3.888414765162401920e+00,-1.458081364631652832e+00,0.000000000000000000e+00
4.800000000000002875e-02,-6.699487212385732415e-02,1.087973975979217578e-01,-2.470032151534268028e+00,3.995211195215160771e+00,-1.432837843894958496e+00,0.000000000000000000e+00
5.000000000000003053e-02,-7.200048422054931840e-02,1.168908228173751451e-01,-2.535416257314440980e+00,4.097891804837227703e+00,-1.408317446708679199e+00,0.000000000000000000e+00
5.200000000000003231e-02,-7.713454879071957038e-02,1.251855047321156766e-01,-2.598479433142412365e+00,4.196457155177930609e+00,-1.384529113769531250e+00,0.000000000000000000e+00
5.400000000000003408e-02,-8.239243419794453627e-02,1.336732166045311310e-01,-2.659232153577722801e+00,4.290911523077763690e+00,-1.361488223075866699e+00,0.000000000000000000e+00
5.600000000000003586e-02,-8.776953216558763815e-02,1.423457447397839803e-01,-2.717687323811967204e+00,4.381263718836111209e+00,-1.339198350906372070e+00,0.000000000000000000e+00
5.800000000000003764e-02,-9.326126210995337729e-02,1.511948967603057026e-01,-2.773859750475391905e+00,4.467526291530540483e+00,-1.317660927772521973e+00,0.000000000000000000e+00
6.000000000000003941e-02,-9.886307492847230816e-02,1.602125091213839336e-01,-2.827766125503850869e+00,4.549715563999699341e+00,-1.296892404556274414e+00,0.000000000000000000e+00
6.200000000000004119e-02,-1.045704576656875801e-01,1.693904561664910380e-01,-2.879425919359591468e+00,4.627853136007140655e+00,-1.276888847351074219e+00,0.000000000000000000e+00
6.400000000000004297e-02,-1.103789380530136588e-01,1.787206590811898643e-01,-2.928860362335656387e+00,4.701964281395139444e+00,-1.250966548919677734e+00,0.000000000000000000e+00
6.600000000000004474e-02,-1.162837315954417389e-01,1.881945165655083685e-01,-2.975736240995160209e+00,4.771501794047408929e+00,-1.205731630325317383e+00,0.000000000000000000e+00
6.800000000000004652e-02,-1.222786787991879953e-01,1.978011898944455615e-01,-3.019012337573617089e+00,4.834776743091680373e+00,-1.162567377090454102e+00,0.000000000000000000e+00
7.000000000000004829e-02,-1.283566859560739681e-01,2.075283244321912413e-01,-3.058795040737553261e+00,4.891960737297338824e+00,-1.121448040008544922e+00,0.000000000000000000e+00
7.200000000000005007e-02,-1.345108737529518705e-01,2.173639128015434629e-01,-3.095192344956882557e+00,4.943229403979689351e+00,-1.082343220710754395e+00,0.000000000000000000e+00
7.400000000000005185e-02,-1.407345801275433905e-01,2.272963023043087782e-01,-3.128313490924008899e+00,4.988761763951494288e+00,-1.045217156410217285e+00,0.000000000000000000e+00
7.600000000000005362e-02,-1.470213623479804388e-01,2.373142009882262815e-01,-3.158268549251478596e+00,5.028739503996143334e+00,-1.010030150413513184e+00,0.000000000000000000e+00
7.800000000000005540e-02,-1.533649983192242050e-01,2.474066823452885366e-01,-3.185168064021083989e+00,5.063346336581680873e+00,-9.767385721206665039e-01,0.000000000000000000e+00
8.000000000000005718e-02,-1.597594871627421309e-01,2.575631886989496744e-01,-3.209122682938024163e+00,5.092767329996492620e+00,-9.452973604202270508e-01,0.000000000000000000e+00
8.200000000000005895e-02,-1.661990491769782252e-01,2.677735334386795452e-01,-3.230242908310957617e+00,5.117188426280936397e+00,-9.156593084335327148e-01,0.000000000000000000e+00
8.400000000000006073e-02,-1.726781252526853883e-01,2.780279022086166729e-01,-3.248638801412874866e+00,5.136795878431477114e+00,-8.849927186965942383e-01,0.000000000000000000e+00
8.600000000000006251e-02,-1.791912307094888357e-01,2.883166205003227511e-01,-3.264274844972173462e+00,5.151543552589549435e+00,-8.545249700546264648e-01,0.000000000000000000e+00
8.800000000000006428e-02,-1.857328770145422747e-01,2.986300311397132590e-01,-3.277182626133170018e+00,5.161494743736877666e+00,-8.269636631011962891e-01,0.000000000000000000e+00
9.000000000000006606e-02,-1.922977815996580742e-01,3.089588334163165806e-01,-3.287536349130264934e+00,5.166942226921322323e+00,-8.010842800140380859e-01,0.000000000000000000e+00
9.200000000000006783e-02,-1.988809476695786449e-01,3.192942122979598452e-01,-3.295447605268563507e+00,5.168078965225340937e+00,-7.766532897949218750e-01,0.000000000000000000e+00
9.400000000000006961e-02,-2.054775906956565201e-01,3.296277218374389362e-01,-3.301017046263430732e+00,5.165081032921422732e+00,-7.536245584487915039e-01,0.000000000000000000e+00
9.600000000000007139e-02,-2.120831261035838744e-01,3.399512666385555160e-01,-3.304343942115179455e+00,5.158122837911866654e+00,-7.319551706314086914e-01,0.000000000000000000e+00
9.800000000000007316e-02,-2.186931664820268573e-01,3.502570983782232750e-01,-3.305526153625337749e+00,5.147376977345683002e+00,-7.115986347198486328e-01,0.000000000000000000e+00
1.000000000000000749e-01,-2.253035183934717911e-01,3.605378114956980240e-01,-3.304659762767224063e+00,5.133013550649104140e+00,-6.925095319747924805e-01,0.000000000000000000e+00
1.020000000000000767e-01,-2.319101786939860299e-01,3.707863379080679755e-01,-3.301838951229242536e+00,5.115199872713856344e+00,-6.746410131454467773e-01,0.000000000000000000e+00
1.040000000000000785e-01,-2.385093304920528068e-01,3.809959409691181520e-01,-3.297155761306703958e+00,5.094100004894032807e+00,-6.579519510269165039e-01,0.000000000000000000e+00
1.060000000000000803e-01,-2.450973390022498644e-01,3.911602090868901982e-01,-3.290700229595898918e+00,5.069874882075523281e+00,-6.435534954071044922e-01,0.000000000000000000e+00
1.080000000000000820e-01,-2.516708052679895169e-01,4.012731405780335381e-01,-3.282618051020175454e+00,5.042773254782888515e+00,-6.303548812866210938e-01,0.000000000000000000e+00
1.100000000000000838e-01,-2.582265660613122793e-01,4.113291427486936991e-01,-3.272999297257424001e+00,5.012955456193316728e+00,-6.181086301803588867e-01,0.000000000000000000e+00
1.120000000000000856e-01,-2.647616255187955070e-01,4.213229231928812268e-01,-3.261921252713243735e+00,4.980561425550383170e+00,-6.067757606506347656e-01,0.000000000000000000e+00
1.140000000000000874e-01,-2.712731400099093748e-01,4.312494654980548736e-01,-3.249458846882794738e+00,4.945727176298561290e+00,-5.963201522827148438e-01,0.000000000000000000e+00
1.160000000000000892e-01,-2.777584134747693723e-01,4.411040214143338023e-01,-3.235684703544122520e+00,4.908584820245470937e+00,-5.867049694061279297e-01,0.000000000000000000e+00
1.180000000000000909e-01,-2.842148926926856833e-01,4.508821028137292575e-01,-3.220669022573179774e+00,4.869262333929718523e+00,-5.778930187225341797e-01,0.000000000000000000e+00
1.200000000000000927e-01,-2.906401623444385129e-01,4.605794732363214794e-01,-3.204479491806664360e+00,4.827883379103353079e+00,-5.698528289794921875e-01,0.000000000000000000e+00
1.220000000000000945e-01,-2.970319402076019299e-01,4.701921395670962123e-01,-3.187181507800090685e+00,4.784567611908618900e+00,-5.625475645065307617e-01,0.000000000000000000e+00
1.240000000000000963e-01,-3.033880722574782141e-01,4.797163434973730767e-01,-3.168837861309783399e+00,4.739430159819948862e+00,-5.559468269348144531e-01,0.000000000000000000e+00
1.260000000000000842e-01,-3.097065277286140672e-01,4.891485528680450945e-01,-3.149509011590192920e+00,4.692582024620192804e+00,-5.500180721282958984e-01,0.000000000000000000e+00
