time,pos_meas1,pos_meas2,vel_meas1,vel_meas2,tau_con1,tau_con2
0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,2.994421005249023438e+00,0.000000000000000000e+00
2.000000000000000042e-03,1.627720830138497474e-04,-2.651339671953105198e-04,1.627678400408307524e-01,-2.651260013295381746e-01,2.968967199325561523e+00,0.000000000000000000e+00
4.000000000000000083e-03,6.496537523447193287e-04,-1.058186450859591003e-03,3.241011013814205088e-01,-5.279025714618963416e-01,2.970181703567504883e+00,0.000000000000000000e+00
6.000000000000000125e-03,1.459174554822755378e-03,-2.376724061432055387e-03,4.853984167065359401e-01,-7.905950035748545712e-01,2.971343278884887695e+00,0.000000000000000000e+00
8.000000000000000167e-03,2.591208057493617732e-03,-4.220476342726929217e-03,6.466050662473269428e-01,-1.053100706531581610e+00,2.972293138504028320e+00,0.000000000000000000e+00
1.000000000000000021e-02,4.045508545596838285e-03,-6.588950812767642787e-03,8.076564197324331840e-01,-1.315300087962776976e+00,2.973119974136352539e+00,0.000000000000000000e+00
1.200000000000000025e-02,5.821704248282997055e-03,-9.481419934923431686e-03,9.684909847477967126e-01,-1.577077531388290321e+00,2.973915338516235352e+00,0.000000000000000000e+00
1.400000000000000029e-02,7.919303373342439362e-03,-1.289692840462686348e-02,1.129050167553262263e+00,-1.838320735131868888e+00,2.974679231643676758e+00,0.000000000000000000e+00
1.600000000000000033e-02,1.033769454356222271e-02,-1.683429078109603683e-02,1.289272914668441627e+00,-2.098911720051573226e+00,2.975413799285888672e+00,0.000000000000000000e+00
1.800000000000000211e-02,1.307614162678589348e-02,-2.129207946818452782e-02,1.449095465786722992e+00,-2.358726172618251127e+00,2.976119756698608398e+00,0.000000000000000000e+00
2.000000000000000389e-02,1.613377789911421556e-02,-2.626861111168624086e-02,1.608450934756031403e+00,-2.617632519912783451e+00,2.976797103881835938e+00,0.000000000000000000e+00
2.200000000000000566e-02,1.950959943535879315e-02,-3.176193126700344038e-02,1.767268956684381775e+00,-2.875491126779064821e+00,2.977447509765625000e+00,0.000000000000000000e+00
2.400000000000000744e-02,2.320245795480282980e-02,-3.776979774015225277e-02,1.925475497038182215e+00,-3.132153773928179508e+00,2.978071689605712891e+00,0.000000000000000000e+00
2.600000000000000921e-02,2.721105317971800677e-02,-4.428966273274091009e-02,2.082992556281598073e+00,-3.387462985906801283e+00,2.978729009628295898e+00,0.000000000000000000e+00
2.800000000000001099e-02,3.153392788209021663e-02,-5.131865900391510693e-02,2.239741153979715182e+00,-3.641256721198374180e+00,2.979378223419189453e+00,0.000000000000000000e+00
3.000000000000001277e-02,3.616946029660950829e-02,-5.885358143046227897e-02,2.395635712964826691e+00,-3.893359084662372904e+00,2.980010747909545898e+00,0.000000000000000000e+00
3.200000000000001454e-02,4.111585259942113213e-02,-6.689086190550651290e-02,2.550585741632449110e+00,-4.143582955089140540e+00,2.980678796768188477e+00,0.000000000000000000e+00
3.400000000000001632e-02,4.637112433572857656e-02,-7.542655210067523985e-02,2.704499100867831185e+00,-4.391735221853393156e+00,2.981313943862915039e+00,0.000000000000000000e+00
3.600000000000001810e-02,5.193310260895737940e-02,-8.445630083187133375e-02,2.857275501827944097e+00,-4.637606158836637071e+00,2.981917858123779297e+00,0.000000000000000000e+00
3.800000000000001987e-02,5.779940969301004816e-02,-9.397532718767245830e-02,3.008810430625544541e+00,-4.880975811551428123e+00,2.982491254806518555e+00,0.000000000000000000e+00
4.000000000000002165e-02,6.396745471963709295e-02,-1.039784003297135467e-01,3.158995300156843822e+00,-5.121614285091771634e+00,2.983039140701293945e+00,0.000000000000000000e+00
4.200000000000002343e-02,7.043442604084110270e-02,-1.144598205183838258e-01,3.307717973989170446e+00,-5.359282682962718702e+00,2.983568191528320312e+00,0.000000000000000000e+00
4.400000000000002520e-02,7.719728458797087134e-02,-1.254134019802987388e-01,3.454863239735044278e+00,-5.593734011278693075e+00,2.984028339385986328e+00,0.000000000000000000e+00
4.600000000000002698e-02,8.425275512637041275e-02,-1.368324526805422547e-01,3.600310233363335666e+00,-5.824709184159416964e+00,2.984437465667724609e+00,0.000000000000000000e+00
4.800000000000002875e-02,9.159731918915309246e-02,-1.487097572567954162e-01,3.743936690998601602e+00,-6.051944173424739226e+00,2.984825134277343750e+00,0.000000000000000000e+00
