time,pos_meas1,pos_meas2,vel_meas1,vel_meas2,tau_con1,tau_con2
0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,-1.032428026199340820e+00,0.000000000000000000e+00
2.000000000000000042e-03,-5.612118704765061610e-05,9.141391277409521311e-05,-5.611972508933180115e-02,9.141116844953704745e-02,-1.005715012550354004e+00,0.000000000000000000e+00
4.000000000000000083e-03,-2.230151260313225497e-04,3.632574764303313523e-04,-1.107698650356178371e-01,1.804242311552456401e-01,-9.816677570343017578e-01,0.000000000000000000e+00
6.000000000000000125e-03,-4.978703780710630380e-04,8.109382663425564967e-04,-1.640782204578153936e-01,2.672431032902115033e-01,-9.758723974227905273e-01,0.000000000000000000e+00
8.000000000000000167e-03,-8.789787407866225680e-04,1.431652459687144307e-03,-2.170201960350118808e-01,3.534524119282869137e-01,-9.702465534210205078e-01,0.000000000000000000e+00
1.000000000000000021e-02,-1.365600012992297793e-03,2.224164637557258118e-03,-2.695883607859695386e-01,4.390358813789761450e-01,-9.644647836685180664e-01,0.000000000000000000e+00
1.200000000000000025e-02,-1.956961500846342381e-03,3.187178103719318870e-03,-3.217576517507598766e-01,5.239485067334900270e-01,-9.592037200927734375e-01,0.000000000000000000e+00
1.400000000000000029e-02,-2.652277219358192828e-03,4.319366136636798928e-03,-3.735398390631554655e-01,6.082052636278745261e-01,-9.542856216430664062e-01,0.000000000000000000e+00
1.600000000000000033e-02,-3.450775102756259774e-03,5.619416272142609137e-03,-4.249370695806891085e-01,6.918054288500020688e-01,-9.495348930358886719e-01,0.000000000000000000e+00
1.800000000000000211e-02,-4.351677862741417345e-03,7.085999069120294501e-03,-4.759419723622993481e-01,7.747327450402838878e-01,-9.449522495269775391e-01,0.000000000000000000e+00
2.000000000000000389e-02,-5.354193528878782929e-03,8.717752633152503136e-03,-5.265472350584408101e-01,8.569710134422582337e-01,-9.405376911163330078e-01,0.000000000000000000e+00
2.200000000000000566e-02,-6.457515520399759353e-03,1.051328265445856079e-02,-5.767455586951286683e-01,9.385040150015844240e-01,-9.362919330596923828e-01,0.000000000000000000e+00
2.400000000000000744e-02,-7.660822706322584913e-03,1.247116241689403063e-02,-6.265296912126941953e-01,1.019315560337688664e+00,-9.322146177291870117e-01,0.000000000000000000e+00
2.600000000000000921e-02,-8.963279436461473945e-03,1.458993275081510617e-02,-6.758923648210312107e-01,1.099389383647988216e+00,-9.283057451248168945e-01,0.000000000000000000e+00
2.800000000000001099e-02,-1.036403552594651785e-02,1.686810190271463214e-02,-7.248263121597077197e-01,1.178709165584365115e+00,-9.246522188186645508e-01,0.000000000000000000e+00
3.000000000000001277e-02,-1.186223097674148075e-02,1.930415311399861708e-02,-7.733289869335496780e-01,1.257266219105498628e+00,-9.216327667236328125e-01,0.000000000000000000e+00
3.200000000000001454e-02,-1.345702127516191539e-02,2.189658570622315600e-02,-8.214184184114673437e-01,1.335085308327380149e+00,-9.187781810760498047e-01,0.000000000000000000e+00
3.400000000000001632e-02,-1.514757245013092363e-02,2.464390690460227518e-02,-8.690871196019563927e-01,1.412149572031058176e+00,-9.160870313644409180e-01,0.000000000000000000e+00
3.600000000000001810e-02,-1.693303546478055685e-02,2.754458999670464023e-02,-9.163275119256445445e-01,1.488441934003664757e+00,-9.126244783401489258e-01,0.000000000000000000e+00
3.800000000000001987e-02,-1.881249532051752771e-02,3.059699131163744895e-02,-9.630812157181304345e-01,1.563862519084272540e+00,-9.117672443389892578e-01,0.000000000000000000e+00
4.000000000000002165e-02,-2.078510373105312697e-02,3.379956616668408631e-02,-1.009473315168811336e+00,1.638610173458967090e+00,-9.127382040023803711e-01,0.000000000000000000e+00
4.200000000000002343e-02,-2.285022027880690906e-02,3.715109858013686261e-02,-1.055586588829482642e+00,1.712814740323641782e+00,-9.144730567932128906e-01,0.000000000000000000e+00
4.400000000000002520e-02,-2.500731218621121688e-02,4.065053783047184455e-02,-1.101445896479905873e+00,1.786511633727958737e+00,-9.164382219314575195e-01,0.000000000000000000e+00
4.600000000000002698e-02,-2.725586731745513816e-02,4.429685657036394608e-02,-1.147047020654969662e+00,1.859688815062260803e+00,-9.185982942581176758e-01,0.000000000000000000e+00
4.800000000000002875e-02,-2.959536309213163172e-02,4.808900000384344620e-02,-1.192383734849583155e+00,1.932330875350140253e+00,-9.219603538513183594e-01,0.000000000000000000e+00
5.000000000000003053e-02,-3.202531906000948697e-02,5.202597128201817689e-02,-1.237504390989292435e+00,2.004511159986103852e+00,-9.212808609008789062e-01,0.000000000000000000e+00
5.200000000000003231e-02,-3.454506676512125035e-02,5.610645663031017805e-02,-1.282172658936024723e+00,2.075839458228082357e+00,-9.182735681533813477e-01,0.000000000000000000e+00
5.400000000000003408e-02,-3.715355827261293542e-02,6.032851358497742095e-02,-1.326245399991861529e+00,2.146077310362258572e+00,-9.150291681289672852e-01,0.000000000000000000e+00
5.600000000000003586e-02,-3.984957298454553515e-02,6.468990772664051647e-02,-1.369693089324730773e+00,2.215171217409881876e+00,-9.120787382125854492e-01,0.000000000000000000e+00
5.800000000000003764e-02,-4.263186018726840970e-02,6.918834471704310429e-02,-1.412515136693799578e+00,2.283114760306430568e+00,-9.094187021255493164e-01,0.000000000000000000e+00
6.000000000000003941e-02,-4.549916791193128057e-02,7.382151723667106091e-02,-1.454710879404045754e+00,2.349901381662475863e+00,-9.070447683334350586e-01,0.000000000000000000e+00
6.200000000000004119e-02,-4.845024276366827198e-02,7.858710467223910257e-02,-1.496279556552884582e+00,2.415524350234952600e+00,-9.049530029296875000e-01,0.000000000000000000e+00
