time,pos_meas1,pos_meas2,vel_meas1,vel_meas2,tau_con1,tau_con2
0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,-3.331281392342381742e-01,0.000000000000000000e+00
2.000000000000000042e-03,-1.810832925020455415e-05,2.949604807185310167e-05,-1.810785756483836509e-02,2.949516265995067929e-02,-3.343028372952185356e-01,0.000000000000000000e+00
4.000000000000000083e-03,-7.249151175675872243e-05,1.180775786236492399e-04,-3.627390838370460335e-02,5.908370883045023503e-02,-3.355024715950353786e-01,0.000000000000000000e+00
6.000000000000000125e-03,-1.632616140132021204e-04,2.659229128602619155e-04,-5.449382940391440250e-02,8.875718696125250995e-02,-3.365547416365997635e-01,0.000000000000000000e+00
8.000000000000000167e-03,-2.905126724779070048e-04,4.731781790353317414e-04,-7.275391403149769620e-02,1.184918563592577273e-01,-3.376270007423697317e-01,0.000000000000000000e+00
1.000000000000000021e-02,-4.543203928514408588e-04,7.399568140882098769e-04,-9.104953849809188648e-02,1.482787671237696392e-01,-3.385499447775239257e-01,0.000000000000000000e+00
1.200000000000000025e-02,-6.547420169781505888e-04,1.066339339234861471e-03,-1.093668631157511950e-01,1.780939541611299970e-01,-3.394836021406345550e-01,0.000000000000000000e+00
1.400000000000000029e-02,-8.918157963671471521e-04,1.452372495721086960e-03,-1.277007376507982295e-01,2.079276033493662468e-01,-3.402762238435259046e-01,0.000000000000000000e+00
1.600000000000000033e-02,-1.165561424955560612e-03,1.898069944028149547e-03,-1.460377551713188393e-01,2.377564487882030120e-01,-3.410685857701445389e-01,0.000000000000000000e+00
1.800000000000000211e-02,-1.475979430194623507e-03,2.403411267279195133e-03,-1.643721565456039979e-01,2.675696797916100600e-01,-3.417323837103286022e-01,0.000000000000000000e+00
2.000000000000000389e-02,-1.823051843647094470e-03,2.968343059820111127e-03,-1.826912054295836141e-01,2.973451190249172260e-01,-3.423844041031318119e-01,0.000000000000000000e+00
2.200000000000000566e-02,-2.206741572479714152e-03,3.592777900726605404e-03,-2.009885141997512226e-01,3.270709293380884564e-01,-3.429219950079014922e-01,0.000000000000000000e+00
2.400000000000000744e-02,-2.626993170554192073e-03,4.276595608145749260e-03,-2.192521175949996293e-01,3.567261877272157600e-01,-3.434362854562490464e-01,0.000000000000000000e+00
2.600000000000000921e-02,-3.083732219828517855e-03,5.019642231073881758e-03,-2.374750094078074969e-01,3.862980488466649653e-01,-3.438507994573261617e-01,0.000000000000000000e+00
2.800000000000001099e-02,-3.576866139918255961e-03,5.821731368559742749e-03,-2.556460339330809406e-01,4.157669088914194844e-01,-3.442307639068055147e-01,0.000000000000000000e+00
3.000000000000001277e-02,-4.106283594776462091e-03,6.682643204938634902e-03,-2.737575916570897383e-01,4.451189577748718151e-01,-3.445255438643794466e-01,0.000000000000000000e+00
3.200000000000001454e-02,-4.671855309437384501e-03,7.602125843098445600e-03,-2.917993436152482301e-01,4.743359249585369919e-01,-3.447749582551031255e-01,0.000000000000000000e+00
3.400000000000001632e-02,-5.273433510884053925e-03,8.579894397868898653e-03,-3.097631311760127848e-01,5.034030937718505516e-01,-3.449533823233769669e-01,0.000000000000000000e+00
3.600000000000001810e-02,-5.910852733938148397e-03,9.615632314172603556e-03,-3.276394212613250589e-01,5.323035118273879984e-01,-3.450761542474425347e-01,0.000000000000000000e+00
3.800000000000001987e-02,-6.583929301852054286e-03,1.070899052781032132e-02,-3.454195358498853841e-01,5.610216232751478183e-01,-3.451415113817153935e-01,0.000000000000000000e+00
4.000000000000002165e-02,-7.292462109650955406e-03,1.185958874968258241e-02,-3.630947251984773527e-01,5.895417599401920894e-01,-3.451415163865255709e-01,0.000000000000000000e+00
4.200000000000002343e-02,-8.036232147899072253e-03,1.306701469984370562e-02,-3.806558350780674949e-01,6.178476000800559031e-01,-3.450969076820895598e-01,0.000000000000000000e+00
4.400000000000002520e-02,-8.815003255375149921e-03,1.433082534483140838e-02,-3.980948684045169106e-01,6.459247128191386578e-01,-3.399916583640448242e-01,0.000000000000000000e+00
4.600000000000002698e-02,-9.628250679960571878e-03,1.565010479263146542e-02,-4.151312409952636617e-01,6.733146893976532654e-01,-3.399557777217102617e-01,0.000000000000000000e+00
4.800000000000002875e-02,-1.047543920233548996e-02,1.702391734542080606e-02,-4.320350664729074586e-01,7.004561250340376466e-01,-3.398875671968179524e-01,0.000000000000000000e+00
5.000000000000003053e-02,-1.135629658512649770e-02,1.845175292551246016e-02,-4.487992080286857810e-01,7.273360356826471529e-01,-3.397941693874812485e-01,0.000000000000000000e+00
5.200000000000003231e-02,-1.227053674454188677e-02,1.993307619186076782e-02,-4.654169564829981898e-01,7.539421428638097833e-01,-3.396337166602764190e-01,0.000000000000000000e+00
5.400000000000003408e-02,-1.321785794468519418e-02,2.146732361802956845e-02,-4.818793694289364438e-01,7.802585406814901425e-01,-3.394383933759237415e-01,0.000000000000000000e+00
5.600000000000003586e-02,-1.419794235898085184e-02,2.305390279884712498e-02,-4.981792990956988021e-01,8.062722572675293797e-01,-3.392108222755700897e-01,0.000000000000000000e+00
5.800000000000003764e-02,-1.521045805570007264e-02,2.469219570726178398e-02,-5.143097885753198373e-01,8.319706435400799904e-01,-3.389180457277999325e-01,0.000000000000000000e+00
6.000000000000003941e-02,-1.625505744915273568e-02,2.638155619669683635e-02,-5.302621413711584575e-01,8.573382301563259311e-01,-3.385822304004248995e-01,0.000000000000000000e+00
6.200000000000004119e-02,-1.733137681958870149e-02,2.812130924630271145e-02,-5.460289204602023494e-01,8.823616132439883186e-01,-3.381952296551644088e-01,0.000000000000000000e+00
6.400000000000004297e-02,-1.843903718811707934e-02,2.991075241540389756e-02,-5.616023042771579599e-01,9.070267779431205879e-01,-3.377567287522777462e-01,0.000000000000000000e+00
6.600000000000004474e-02,-1.957764397662429753e-02,3.174915532143757213e-02,-5.769745157316302775e-01,9.313197983492664811e-01,-3.372754847939716250e-01,0.000000000000000000e+00
6.800000000000004652e-02,-2.074678759303268116e-02,3.363576062735301048e-02,-5.921383185013837647e-01,9.552276469722429386e-01,-3.367351301690209575e-01,0.000000000000000000e+00
7.000000000000004829e-02,-2.194604315122691135e-02,3.556978362222561196e-02,-6.070856554702329655e-01,9.787359786270067863e-01,-3.361224361466342292e-01,0.000000000000000000e+00
7.200000000000005007e-02,-2.317496900392240072e-02,3.755040987147843790e-02,-6.218078232361902158e-01,1.001829416147631546e+00,-3.354475977522909935e-01,0.000000000000000000e+00
7.400000000000005185e-02,-2.443310672656320154e-02,3.957679523312687686e-02,-6.362967485611951135e-01,1.024493630548497736e+00,-3.347159270074320792e-01,0.000000000000000000e+00
7.600000000000005362e-02,-2.571998211613037849e-02,4.164806752962092740e-02,-6.505447268377503311e-01,1.046714916484674518e+00,-3.339299545502116273e-01,0.000000000000000000e+00
7.800000000000005540e-02,-2.703510578103671125e-02,4.376332755654474549e-02,-6.645442747175115406e-01,1.068479953664919657e+00,-3.330906699529777582e-01,0.000000000000000000e+00
8.000000000000005718e-02,-2.837797350366348670e-02,4.592164972391192534e-02,-6.782880501291599362e-01,1.089775678042106621e+00,-3.321982108024374436e-01,0.000000000000000000e+00
8.200000000000005895e-02,-2.974806648038193571e-02,4.812208250085667910e-02,-6.917688097470732211e-01,1.110589214021873605e+00,-3.311223547112934762e-01,0.000000000000000000e+00
8.400000000000006073e-02,-3.114484444614950415e-02,5.036363727873897911e-02,-7.049723365714894996e-01,1.130896361673369599e+00,-3.301038394451041857e-01,0.000000000000000000e+00
8.600000000000006251e-02,-3.256775187242945402e-02,5.264529852392606235e-02,-7.178975842469220714e-01,1.150694396087782234e+00,-3.229892704918488344e-01,0.000000000000000000e+00
8.800000000000006428e-02,-3.401589728456357042e-02,5.496550179123823460e-02,-7.302096774368099785e-01,1.169437182766559280e+00,-3.222007544930638456e-01,0.000000000000000000e+00
