time,pos_meas1,pos_meas2,vel_meas1,vel_meas2,tau_con1,tau_con2
0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,-3.217380000000000240e-01,0.000000000000000000e+00
2.000000000000000042e-03,-1.748917893794835622e-05,2.848753496605542940e-05,-1.748872338047561745e-02,2.848667982832402482e-02,-3.229931156381901092e-01,0.000000000000000000e+00
4.000000000000000083e-03,-7.001947541329717119e-05,1.140510098698382328e-04,-3.504020480450303204e-02,5.707422662036082395e-02,-3.241992354563094092e-01,0.000000000000000000e+00
6.000000000000000125e-03,-1.577082590534089885e-04,2.568775278363239932e-04,-5.264629465016210097e-02,8.574800361207668420e-02,-3.253553550678940920e-01,0.000000000000000000e+00
8.000000000000000167e-03,-2.806565273761786475e-04,4.571247950478021121e-04,-7.029877078448948380e-02,1.144932512724528423e-01,-3.264604744989342833e-01,0.000000000000000000e+00
1.000000000000000021e-02,-4.389487631395981582e-04,7.149208794930749043e-04,-8.798934093810738266e-02,1.432950915918456691e-01,-3.275165994628211341e-01,0.000000000000000000e+00
1.200000000000000025e-02,-6.326529596039232733e-04,1.030364244067261603e-03,-1.057098082395380584e-01,1.721387981375987197e-01,-3.285217289174605093e-01,0.000000000000000000e+00
1.400000000000000029e-02,-8.618205956569862042e-04,1.403523698844569940e-03,-1.234518555460964034e-01,2.010094451755186640e-01,-3.294748501525888718e-01,0.000000000000000000e+00
1.600000000000000033e-02,-1.126486451158733313e-03,1.834438093933821960e-03,-1.412071013371341832e-01,2.298919991406246366e-01,-3.303779663763999341e-01,0.000000000000000000e+00
1.800000000000000211e-02,-1.426668644321956976e-03,2.323116374868230277e-03,-1.589672658519025450e-01,2.587715896913272973e-01,-3.312290897886270846e-01,0.000000000000000000e+00
2.000000000000000389e-02,-1.762368620475416973e-03,2.869537559681516973e-03,-1.767239563361841514e-01,2.876331603458294750e-01,-3.320282012867448729e-01,0.000000000000000000e+00
2.200000000000000566e-02,-2.133571035324293309e-03,3.473650545032595013e-03,-1.944687762964222300e-01,3.164616469009519650e-01,-3.327753275659781074e-01,0.000000000000000000e+00
2.400000000000000744e-02,-2.540243752224289123e-03,4.135374098975115251e-03,-2.121933302570170321e-01,3.452419856542520149e-01,-3.334704425555462537e-01,0.000000000000000000e+00
2.600000000000000921e-02,-2.982337843641393992e-03,4.854596861507029862e-03,-2.298892231893041593e-01,3.739591129633147437e-01,-3.341135459666367824e-01,0.000000000000000000e+00
2.800000000000001099e-02,-3.459787595772496633e-03,5.631177351266026046e-03,-2.475480642440447965e-01,4.025979718337369118e-01,-3.347036660038290035e-01,0.000000000000000000e+00
3.000000000000001277e-02,-3.972510466457582039e-03,6.464943897181142651e-03,-2.651614163125233237e-01,4.311434302913561556e-01,-3.352407611603709370e-01,0.000000000000000000e+00
3.200000000000001454e-02,-4.520407045645685740e-03,7.355694575371084405e-03,-2.827208490196812529e-01,4.595803682577980775e-01,-3.357248678870686232e-01,0.000000000000000000e+00
3.400000000000001632e-02,-5.103361075562657528e-03,8.303197244428749818e-03,-3.002179454318983365e-01,4.878936890596904385e-01,-3.361549570480549809e-01,0.000000000000000000e+00
3.600000000000001810e-02,-5.721239422181872286e-03,9.307189502579938170e-03,-3.176442466542337972e-01,5.160682297978143040e-01,-3.365320459241259443e-01,0.000000000000000000e+00
3.800000000000001987e-02,-6.373892105111479342e-03,1.036737874125043604e-02,-3.349913656482838564e-01,5.440889473836396650e-01,-3.368551248233059847e-01,0.000000000000000000e+00
4.000000000000002165e-02,-7.061152333742827004e-03,1.148344221014975519e-02,-3.522508796765194683e-01,5.719407440218078342e-01,-3.371242127119807308e-01,0.000000000000000000e+00
4.200000000000002343e-02,-7.782836494447456510e-03,1.265502700400509585e-02,-3.694143889077949883e-01,5.996085633802560322e-01,-3.373392646535370298e-01,0.000000000000000000e+00
4.400000000000002520e-02,-8.538744195656389549e-03,1.388175014503355634e-02,-3.864735156932269655e-01,6.270773901568630349e-01,-3.375003309445954169e-01,0.000000000000000000e+00
4.600000000000002698e-02,-9.328658320200099163e-03,1.516319867876940453e-02,-4.034199125511426787e-01,6.543322638682744774e-01,-3.376073728104729832e-01,0.000000000000000000e+00
4.800000000000002875e-02,-1.015234508366013796e-02,1.649892978128628465e-02,-4.202452601940344090e-01,6.813582764566101790e-01,-3.376594097107307180e-01,0.000000000000000000e+00
5.000000000000003053e-02,-1.100955404249343017e-02,1.788847078629047377e-02,-4.369412192762917591e-01,7.081404945579252708e-01,-3.376564402849836499e-01,0.000000000000000000e+00
5.200000000000003231e-02,-1.190001811013614158e-02,1.933131922697832461e-02,-4.534994866253357904e-01,7.346640519963680838e-01,-3.375984419727345309e-01,0.000000000000000000e+00
5.400000000000003408e-02,-1.282345363126068984e-02,2.082694297446335135e-02,-4.699117971625649814e-01,7.609141538579266006e-01,-3.374864562950419811e-01,0.000000000000000000e+00
5.600000000000003586e-02,-1.377956051891650324e-02,2.237478048055426688e-02,-4.861699848638873500e-01,7.868761767630968462e-01,-3.373184306021757006e-01,0.000000000000000000e+00
5.800000000000003764e-02,-1.476802228765728559e-02,2.397424085312982109e-02,-5.022658177911388799e-01,8.125354012023872086e-01,-3.370954198643556499e-01,0.000000000000000000e+00
6.000000000000003941e-02,-1.578850609386263718e-02,2.562470394533140211e-02,-5.181911702509240936e-01,8.378772930093353333e-01,-3.368173802401341344e-01,0.000000000000000000e+00
6.200000000000004119e-02,-1.684066289182097401e-02,2.732552063547963664e-02,-5.339379663964629597e-01,8.628874126113708076e-01,-3.364843369596712819e-01,0.000000000000000000e+00
6.400000000000004297e-02,-1.792412754054292789e-02,2.907601302900177098e-02,-5.494981873566271435e-01,8.875514277901903615e-01,-3.360952596455276664e-01,0.000000000000000000e+00
6.600000000000004474e-02,-1.903851886378192179e-02,3.087547458649275017e-02,-5.648638173162621179e-01,9.118550270595920937e-01,-3.356501805856307308e-01,0.000000000000000000e+00
6.800000000000004652e-02,-2.018343971738556161e-02,3.272317026614634389e-02,-5.800269047641967157e-01,9.357840206522005655e-01,-3.351500965096563811e-01,0.000000000000000000e+00
7.000000000000004829e-02,-2.135847717384034908e-02,3.461833685955101325e-02,-5.949796184346702876e-01,9.593244328899169782e-01,-3.345939987762516776e-01,0.000000000000000000e+00
7.200000000000005007e-02,-2.256320265738725322e-02,3.656018324955541410e-02,-6.097141419411568064e-01,9.824623318926770654e-01,-3.339818640931318527e-01,0.000000000000000000e+00
7.400000000000005185e-02,-2.379717203094929012e-02,3.854789059230605969e-02,-6.242227309519275957e-01,1.005183924035465637e+00,-3.333137393682232830e-01,0.000000000000000000e+00
7.600000000000005362e-02,-2.505992574772539574e-02,4.058061260731368053e-02,-6.384977206793901461e-01,1.027475567517578625e+00,-3.325905845532570182e-01,0.000000000000000000e+00
7.800000000000005540e-02,-2.635098906356444018e-02,4.265747596926566104e-02,-6.525315791670595056e-01,1.049323860531485186e+00,-3.318104133932660016e-01,0.000000000000000000e+00
8.000000000000005718e-02,-2.766987214633605252e-02,4.477758053493818141e-02,-6.663167510079268663e-01,1.070715388212046593e+00,-3.309752178838350489e-01,0.000000000000000000e+00
8.200000000000005895e-02,-2.901607024884488364e-02,4.693999967646884236e-02,-6.798458771552542412e-01,1.091637082016153615e+00,-3.300839984138877470e-01,0.000000000000000000e+00
8.400000000000006073e-02,-3.038906394283675746e-02,4.914378071702994732e-02,-6.931116362131733988e-01,1.112075962766030157e+00,-3.291357455403511878e-01,0.000000000000000000e+00
8.600000000000006251e-02,-3.178831919756593127e-02,5.138794511638453827e-02,-7.061067477057341168e-01,1.132019147483922961e+00,-3.281325492037974745e-01,0.000000000000000000e+00
8.800000000000006428e-02,-3.321328763367870085e-02,5.367148894490280514e-02,-7.188241441111576924e-01,1.151454130990023916e+00,-3.270732759862644556e-01,0.000000000000000000e+00
9.000000000000006606e-02,-3.466340677787754787e-02,5.599338336186105575e-02,-7.312567996207145482e-01,1.170368508615859504e+00,-3.259579896559733347e-01,0.000000000000000000e+00
9.200000000000006783e-02,-3.613810021509609310e-02,5.835257492992524525e-02,-7.433977988828555095e-01,1.188750089656802622e+00,-3.247866972321151180e-01,0.000000000000000000e+00
9.400000000000006961e-02,-3.763677781006106310e-02,6.074798604566181148e-02,-7.552403376457117457e-01,1.206586899946861413e+00,-3.235593667695099707e-01,0.000000000000000000e+00
9.600000000000007139e-02,-3.915883593107471333e-02,6.317851537672126983e-02,-7.667777243337784432e-01,1.223867185953865233e+00,-3.222760682054983672e-01,0.000000000000000000e+00
9.800000000000007316e-02,-4.070365768455166261e-02,6.564303831957923885e-02,-7.780033892237189219e-01,1.240579431237575303e+00,-3.209367248337379186e-01,0.000000000000000000e+00
1.000000000000000749e-01,-4.227061315437553868e-02,6.814040746815806793e-02,-7.889108800876922789e-01,1.256712350870859085e+00,-3.195423556984704483e-01,0.000000000000000000e+00
1.020000000000000767e-01,-4.385905969984887215e-02,7.066945318081144234e-02,-7.994939251362530586e-01,1.272254995366103092e+00,-3.180919733783739711e-01,0.000000000000000000e+00
1.040000000000000785e-01,-4.546834221122671160e-02,7.322898408123380831e-02,-8.097463276692976608e-01,1.287196580696543302e+00,-3.165855469928448018e-01,0.000000000000000000e+00
1.060000000000000803e-01,-4.709779331518605672e-02,7.581778748083403685e-02,-8.196620213514711484e-01,1.301526579717055432e+00,-3.150241447173117715e-01,0.000000000000000000e+00
1.080000000000000820e-01,-4.874673369842557474e-02,7.843462999621807208e-02,-8.292351330611513749e-01,1.315234825840369437e+00,-3.134067162364021497e-01,0.000000000000000000e+00
1.100000000000000838e-01,-5.041447238248369933e-02,8.107825809008847862e-02,-8.384598712721987868e-01,1.328311332805447664e+00,-3.117343042025217392e-01,0.000000000000000000e+00
1.120000000000000856e-01,-5.210030700345606725e-02,8.374739862284591441e-02,-8.473306425538418285e-01,1.340746485570813107e+00,-3.100068185024231759e-01,0.000000000000000000e+00
1.140000000000000874e-01,-5.380352414978060993e-02,8.644075950129805064e-02,-8.558419931481850984e-01,1.352530946551682600e+00,-3.082233532287773081e-01,0.000000000000000000e+00
1.160000000000000892e-01,-5.552339960029697291e-02,8.915703016768870837e-02,-8.639885676680645332e-01,1.363655589704340310e+00,-3.063858813427353667e-01,0.000000000000000000e+00
1.180000000000000909e-01,-5.725919867958901427e-02,9.189488228195612229e-02,-8.717652676606806317e-01,1.374111759622980822e+00,-3.044923528897653942e-01,0.000000000000000000e+00
1.200000000000000927e-01,-5.901017655665859174e-02,9.465297031414240947e-02,-8.791670364077355249e-01,1.383890922667678769e+00,-3.025448323990300725e-01,0.000000000000000000e+00
1.220000000000000945e-01,-6.077557855353511035e-02,9.742993215517151140e-02,-8.861890840209220022e-01,1.392985034113451537e+00,-3.005423193321760111e-01,0.000000000000000000e+00
1.240000000000000963e-01,-6.255464051533683734e-02,1.002243898296290292e-01,-8.928267238304491427e-01,1.401386273077355193e+00,-2.984857458936013841e-01,0.000000000000000000e+00
1.260000000000000842e-01,-6.434658912338160619e-02,1.030349501178494664e-01,-8.990754790213938419e-01,1.409087216842312529e+00,-2.963742180161070827e-01,0.000000000000000000e+00
1.280000000000000859e-01,-6.615064221808557299e-02,1.058602051957158591e-01,-9.049309858040913701e-01,1.416080684288444358e+00,-2.942086387374000522e-01,0.000000000000000000e+00
1.300000000000000877e-01,-6.796600912394638871e-02,1.086987332794811523e-01,-9.103890923074041686e-01,1.422359897436110243e+00,-2.919900701928165865e-01,0.000000000000000000e+00
1.320000000000000895e-01,-6.979189108348345105e-02,1.115490994491273591e-01,-9.154458686472557449e-01,1.427918498452495299e+00,-2.897165121003183463e-01,0.000000000000000000e+00
1.340000000000000913e-01,-7.162748153718911936e-02,1.144098562227110066e-01,-9.200974428925627890e-01,1.432750283683538850e+00,-2.873899108374585731e-01,0.000000000000000000e+00
1.360000000000000930e-01,-7.347196645380681124e-02,1.172795442136391197e-01,-9.243402153818338629e-01,1.436849552451466394e+00,-2.850093403636923539e-01,0.000000000000000000e+00
1.380000000000000948e-01,-7.532452472074577243e-02,1.201566928865879375e-01,-9.281707045827110036e-01,1.440210856991004151e+00,-2.825767578249595569e-01,0.000000000000000000e+00
1.400000000000000966e-01,-7.718432853670630089e-02,1.230398213176941563e-01,-9.315857034059994435e-01,1.442829256700986384e+00,-2.800901359715270433e-01,0.000000000000000000e+00
1.420000000000000984e-01,-7.905054374619083224e-02,1.259274388608683237e-01,-9.345820648239925310e-01,1.444699970120841392e+00,-2.775505289627653860e-01,0.000000000000000000e+00
1.440000000000001001e-01,-8.092233012626501298e-02,1.288180457369251242e-01,-9.371568684563007512e-01,1.445818645665464031e+00,-2.749589343507137240e-01,0.000000000000000000e+00
1.460000000000001019e-01,-8.279884183688593358e-02,1.317101338884966166e-01,-9.393074175671073389e-01,1.446181356711033539e+00,-2.723153252599435636e-01,0.000000000000000000e+00
1.480000000000001037e-01,-8.467922781290058987e-02,1.346021877400763456e-01,-9.410311837469191865e-01,1.445784511659839566e+00,-2.696197077345903192e-01,0.000000000000000000e+00
1.500000000000001055e-01,-8.656263210223263949e-02,1.374926848703978410e-01,-9.423258084135850421e-01,1.444624856196081941e+00,-2.668721150032069556e-01,0.000000000000000000e+00
1.520000000000001072e-01,-8.844819420655584963e-02,1.403800966883834156e-01,-9.431891037981205983e-01,1.442699474600882770e+00,-2.640735244694314421e-01,0.000000000000000000e+00
1.540000000000001090e-01,-9.033504947303785948e-02,1.432628891912802460e-01,-9.436191030210799857e-01,1.440005870606022809e+00,-2.612229125019768228e-01,0.000000000000000000e+00
1.560000000000001108e-01,-9.222232942760437424e-02,1.461395236269780185e-01,-9.436139515614244688e-01,1.436541790778084415e+00,-2.583223297497522220e-01,0.000000000000000000e+00
1.580000000000001126e-01,-9.410916216388351407e-02,1.490084572455493417e-01,-9.431720714272350259e-01,1.432305490264025094e+00,-2.553697301528765617e-01,0.000000000000000000e+00
1.600000000000001144e-01,-9.599467267478403731e-02,1.518681439564001923e-01,-9.422919396779743106e-01,1.427295372790881700e+00,-2.523681467652531540e-01,0.000000000000000000e+00
1.620000000000001161e-01,-9.787798323401968037e-02,1.547170350648977566e-01,-9.409723597740327072e-01,1.421510429972547396e+00,-2.493165736053070403e-01,0.000000000000000000e+00
1.640000000000001179e-01,-9.975821383021724054e-02,1.575535800924902086e-01,-9.392122428842774040e-01,1.414949885664334106e+00,-2.462140114568111271e-01,0.000000000000000000e+00
1.660000000000001197e-01,-1.016344823810057252e-01,1.603762272381365483e-01,-9.370106065341712309e-01,1.407613192857150919e+00,-2.430634480153856802e-01,0.000000000000000000e+00
1.680000000000001215e-01,-1.035059051575641792e-01,1.631834241788855389e-01,-9.343667863774909321e-01,1.399500375844854316e+00,-2.398629736952528069e-01,0.000000000000000000e+00
1.700000000000001232e-01,-1.053715971559890247e-01,1.659736187818742770e-01,-9.312801713221571243e-01,1.390611599655783959e+00,-2.366144039904767293e-01,0.000000000000000000e+00
1.720000000000001250e-01,-1.072306724011911350e-01,1.687452597044721003e-01,-9.277504008635965027e-01,1.380947488602663364e+00,-2.333179209389270037e-01,0.000000000000000000e+00
1.740000000000001268e-01,-1.090822443579475692e-01,1.714967971653866552e-01,-9.237772749505457348e-01,1.370508978798375077e+00,-2.299724047237622915e-01,0.000000000000000000e+00
1.760000000000001286e-01,-1.109254261795327573e-01,1.742266834497832317e-01,-9.193606817018660227e-01,1.359297199658882516e+00,-2.265799482055865233e-01,0.000000000000000000e+00
1.780000000000001303e-01,-1.127593310532344767e-01,1.769333735684069653e-01,-9.145007665334676794e-01,1.347313746308825610e+00,-2.231404829640794285e-01,0.000000000000000000e+00
1.800000000000001321e-01,-1.145830725963068314e-01,1.796153259951928927e-01,-9.091978135160673213e-01,1.334560485774356042e+00,-2.196540225676905933e-01,0.000000000000000000e+00
1.820000000000001339e-01,-1.163957651346805011e-01,1.822710032117010048e-01,-9.034522467594955364e-01,1.321039557578627122e+00,-2.161206123388557387e-01,0.000000000000000000e+00
1.840000000000001357e-01,-1.181965239816489682e-01,1.848988722481541003e-01,-8.972646290064125729e-01,1.306753369753279381e+00,-2.125412181295251723e-01,0.000000000000000000e+00
1.860000000000001374e-01,-1.199844657610686094e-01,1.874974052930084567e-01,-8.906357075447788318e-01,1.291704671342421840e+00,-2.089168414450549571e-01,0.000000000000000000e+00
1.880000000000001392e-01,-1.217587087749560648e-01,1.900650803706638303e-01,-8.835664127012661240e-01,1.275896548057734448e+00,-2.052464626171134621e-01,0.000000000000000000e+00
1.900000000000001410e-01,-1.235183732583559485e-01,1.926003818329846407e-01,-8.760577466411904046e-01,1.259332240486835897e+00,-2.015321759135642876e-01,0.000000000000000000e+00
1.920000000000001428e-01,-1.252625816856544894e-01,1.951018009302173950e-01,-8.681109459685962815e-01,1.242015405174326625e+00,-1.977728606530979316e-01,0.000000000000000000e+00
1.940000000000001446e-01,-1.269904590645325182e-01,1.975678363579745911e-01,-8.597273068245974148e-01,1.223949829744512385e+00,-1.939696080634230879e-01,0.000000000000000000e+00
1.960000000000001463e-01,-1.287011331694243865e-01,1.999969947024060613e-01,-8.509082992491089348e-01,1.205139615858253466e+00,-1.901233373739378840e-01,0.000000000000000000e+00
1.980000000000001481e-01,-1.303937348765048243e-01,2.023877910454700280e-01,-8.416555543678913009e-01,1.185589156405139954e+00,-1.862340864725405276e-01,0.000000000000000000e+00
2.000000000000001499e-01,-1.320673984353408770e-01,2.047387494636551397e-01,-8.319708138799676300e-01,1.165303051783459942e+00,-1.823019760017749180e-01,0.000000000000000000e+00
2.020000000000001517e-01,-1.337212616908891316e-01,2.070484034423290542e-01,-8.218559309097202004e-01,1.144286109232221627e+00,-1.783277873699713745e-01,0.000000000000000000e+00
2.040000000000001534e-01,-1.353544663378936641e-01,2.093152963383166365e-01,-8.113129015512583475e-01,1.122543391719030614e+00,-1.743116809493067410e-01,0.000000000000000000e+00
2.060000000000001552e-01,-1.369661581702338038e-01,2.115379818301465764e-01,-8.003438282867187947e-01,1.100080156750570470e+00,-1.702545919369507499e-01,0.000000000000000000e+00
2.080000000000001570e-01,-1.385554873313014079e-01,2.137150243657790216e-01,-7.889509575870617963e-01,1.076901915018160016e+00,-1.661574598078711107e-01,0.000000000000000000e+00
2.100000000000001588e-01,-1.401216085986253801e-01,2.158449996614419941e-01,-7.771366765658487274e-01,1.053014422878679746e+00,-1.620194878858378373e-01,0.000000000000000000e+00
2.120000000000001605e-01,-1.416636815695814233e-01,2.179264950365938924e-01,-7.649034174290867405e-01,1.028423526041424285e+00,-1.578414700151281047e-01,0.000000000000000000e+00
2.140000000000001623e-01,-1.431808708326031965e-01,2.199581097214458325e-01,-7.522537385002223687e-01,1.003135288378569356e+00,-1.536254933618272367e-01,0.000000000000000000e+00
2.160000000000001641e-01,-1.446723462845309616e-01,2.219384553963025530e-01,-7.391903893340847631e-01,9.771560949376680849e-01,-1.493695164979095824e-01,0.000000000000000000e+00
2.180000000000001659e-01,-1.461372832910257380e-01,2.238661564735806020e-01,-7.257160887166794749e-01,9.504922917189655429e-01,-1.450766287752383310e-01,0.000000000000000000e+00
2.200000000000001676e-01,-1.475748628936549289e-01,2.257398504512402315e-01,-7.118337932630821596e-01,9.231506171371202107e-01,-1.407458185985453747e-01,0.000000000000000000e+00
2.220000000000001694e-01,-1.489842720652216346e-01,2.275581883401767425e-01,-6.975464771364205951e-01,8.951378446932289901e-01,-1.363779775256712956e-01,0.000000000000000000e+00
2.240000000000001712e-01,-1.503647038426574878e-01,2.293198348903373041e-01,-6.828572298491205617e-01,8.664609389237806214e-01,-1.319731629776381143e-01,0.000000000000000000e+00
2.260000000000001730e-01,-1.517153575107006713e-01,2.310234688951448290e-01,-6.677692092677703917e-01,8.371269778091764424e-01,-1.275323890728395637e-01,0.000000000000000000e+00
2.280000000000001747e-01,-1.530354387864212851e-01,2.326677834937434797e-01,-6.522856894434868602e-01,8.071432281578592161e-01,-1.230566832228714158e-01,0.000000000000000000e+00
2.300000000000001765e-01,-1.543241600495841859e-01,2.342514865436924609e-01,-6.364100586260853509e-01,7.765171406877993121e-01,-1.185459777234945805e-01,0.000000000000000000e+00
2.320000000000001783e-01,-1.555807405106520991e-01,2.357733008897978377e-01,-6.201457588998037229e-01,7.452562511054466876e-01,-1.140013177320204352e-01,0.000000000000000000e+00
2.340000000000001801e-01,-1.568044063748485761e-01,2.372319646234410107e-01,-6.034963425933145276e-01,7.133682694892909959e-01,-1.094226249047527688e-01,0.000000000000000000e+00
2.360000000000001819e-01,-1.579943910010752350e-01,2.386262313306122540e-01,-5.864654107394602356e-01,6.808609796487707921e-01,-1.048110819276192179e-01,0.000000000000000000e+00
2.380000000000001836e-01,-1.591499350637738952e-01,2.399548703418369899e-01,-5.690566775460429438e-01,6.477423416234041609e-01,-1.001664751326143549e-01,0.000000000000000000e+00
2.400000000000001854e-01,-1.602702867036480128e-01,2.412166669614652925e-01,-5.512738948012374518e-01,6.140203685878182771e-01,-9.549048261664022652e-02,0.000000000000000000e+00
2.420000000000001872e-01,-1.613547017007929685e-01,2.424104227305348136e-01,-5.331209498582855089e-01,5.797032834746457253e-01,-9.078305878259636252e-02,0.000000000000000000e+00
2.440000000000001890e-01,-1.624024436532723048e-01,2.435349556960403894e-01,-5.146017731173671006e-01,5.447993688090805309e-01,-8.604500905591698501e-02,0.000000000000000000e+00
2.460000000000001907e-01,-1.634127841066070619e-01,2.445891005989786204e-01,-4.957203814441250023e-01,5.093170356173668534e-01,-8.127695959450008389e-02,0.000000000000000000e+00
2.480000000000001925e-01,-1.643850027159363680e-01,2.455717091130468765e-01,-4.764808674277213885e-01,4.732648051864979943e-01,-7.647934981790809050e-02,0.000000000000000000e+00
2.500000000000001665e-01,-1.653183873864859377e-01,2.464816500466378846e-01,-4.568873884311515643e-01,4.366512906012870454e-01,-7.165297239455470368e-02,0.000000000000000000e+00
2.520000000000001683e-01,-1.662122344207480340e-01,2.473178095540773946e-01,-4.369441842503670737e-01,3.994852244451344014e-01,-6.679839862644668114e-02,0.000000000000000000e+00
2.540000000000001701e-01,-1.670658486708878343e-01,2.480790913539149545e-01,-4.166555646840974791e-01,3.617754381591828938e-01,-6.191636033788201071e-02,0.000000000000000000e+00
2.560000000000001719e-01,-1.678785436865751490e-01,2.487644169387017434e-01,-3.960259173880711914e-01,3.235308741671286126e-01,-5.700735693309948865e-02,0.000000000000000000e+00
2.580000000000001736e-01,-1.686496418580199774e-01,2.493727257761216010e-01,-3.750596952262708061e-01,2.847605651076580702e-01,-5.207230920847528977e-02,0.000000000000000000e+00
2.600000000000001754e-01,-1.693784745682944681e-01,2.499029755243647732e-01,-3.537614382039735439e-01,2.454736688396014777e-01,-4.711165650518608916e-02,0.000000000000000000e+00
2.620000000000001772e-01,-1.700643823421938428e-01,2.503541422414504725e-01,-3.321357480763416636e-01,2.056794273928738148e-01,-4.212612563118448006e-02,0.000000000000000000e+00
2.640000000000001790e-01,-1.707067149849539334e-01,2.507252205779791354e-01,-3.101873035943700785e-01,1.653871914418436340e-01,-3.711640443491499852e-02,0.000000000000000000e+00
2.660000000000001807e-01,-1.713048317344643134e-01,2.510152239915905414e-01,-2.879208587552505305e-01,1.246064175401174895e-01,-3.208325707703935797e-02,0.000000000000000000e+00
