time,pos_meas1,pos_meas2,vel_meas1,vel_meas2,tau_con1,tau_con2
0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,-1.499999997819134734e+00,0.000000000000000000e+00
2.000000000000000042e-03,-8.153767453190826362e-05,1.328139737788125397e-04,-8.153555026653312721e-02,1.328099861145682070e-01,-1.499999997819134734e+00,0.000000000000000000e+00
4.000000000000000083e-03,-3.261252034274947104e-04,5.312080346765301209e-04,-1.630456020792191985e-01,2.655721028593762689e-01,-1.499999997819134734e+00,0.000000000000000000e+00
6.000000000000000125e-03,-7.336860554057314304e-04,1.195038490049369186e-03,-2.445046091113498576e-01,3.982383681951688348e-01,-1.499999997819134734e+00,0.000000000000000000e+00
8.000000000000000167e-03,-1.304092518999389006e-03,2.124065477125194890e-03,-3.258869296285424322e-01,5.307605754813438104e-01,-1.499999997819134734e+00,0.000000000000000000e+00
1.000000000000000021e-02,-2.037165464741497525e-03,3.317952403039779383e-03,-4.071667796320200261e-01,6.630901830235368388e-01,-1.499999997819134734e+00,0.000000000000000000e+00
1.200000000000000025e-02,-2.932674014601852844e-03,4.776265166070011066e-03,-4.883181870228813226e-01,7.951782058483439775e-01,-1.499999997819134734e+00,0.000000000000000000e+00
1.400000000000000029e-02,-3.990335121062231656e-03,6.498471163273893125e-03,-5.693149471349182589e-01,9.269751104625505445e-01,-1.499999997819134734e+00,0.000000000000000000e+00
1.600000000000000033e-02,-5.209813058919729976e-03,8.483938091273573665e-03,-6.501305799893579707e-01,1.058430713366296905e+00,-1.499999997819134734e+00,0.000000000000000000e+00
1.800000000000000211e-02,-6.590718833621055615e-03,1.073193254847033470e-02,-7.307382896317137222e-01,1.189494084103709826e+00,-1.499999997819134734e+00,0.000000000000000000e+00
2.000000000000000389e-02,-8.132609510658375673e-03,1.324161844856281550e-02,-8.111109259184038356e-01,1.320113453650008761e+00,-1.499999998645994426e+00,0.000000000000000000e+00
2.200000000000000566e-02,-9.834987471345327248e-03,1.601205525692703593e-02,-8.912209491735189060e-01,1.450236129023369180e+00,-1.499999998645994426e+00,0.000000000000000000e+00
2.400000000000000744e-02,-1.169729960087062884e-02,1.904219606277001223e-02,-9.710403978741029007e-01,1.579808414586389986e+00,-1.499999998645994426e+00,0.000000000000000000e+00
2.600000000000000921e-02,-1.371893641552477533e-02,2.233088550201134739e-02,-1.050540860203502680e+00,1.708775541614550919e+00,-1.499999998645994426e+00,0.000000000000000000e+00
2.800000000000001099e-02,-1.589923113678160665e-02,2.587685754755021661e-02,-1.129693449419268303e+00,1.837081606256825594e+00,-1.499999998645994426e+00,0.000000000000000000e+00
3.000000000000001277e-02,-1.823745872048808739e-02,2.967873318493262358e-02,-1.208468783660347379e+00,1.964669517120002817e+00,-1.499999998645994426e+00,0.000000000000000000e+00
3.200000000000001454e-02,-2.073283485039759469e-02,3.373501799346177721e-02,-1.286836970550317760e+00,2.091480953272197851e+00,-1.499999998645994426e+00,0.000000000000000000e+00
3.400000000000001632e-02,-2.338451490603958918e-02,3.804409965445656322e-02,-1.364767596996921961e+00,2.217456333530945845e+00,-1.499999998645994426e+00,0.000000000000000000e+00
